DIRECTORIO;FEX_C
7568611;31.957429288
7568613;38.101454362
7568614;76.818966744
7568845;36.448676718
7568846;18.444527165
7568847;30.995510214
7568851;28.943572492
7568852;32.991384272
7568853;23.212958019
7568855;28.522379116
7568859;33.094974409
7568860;42.670752123
7568861;34.779129661
7568884;168.74853554
7568885;84.060124784
7568886;152.04297319
7568887;168.74853554
7568891;286.57480992
7568893;110.20467965
7568900;234.04504843
7568905;196.37983808
7568907;108.19640411
7568909;219.01025888
7568912;165.05476016
7568913;204.41842966
7568914;295.11136782
7568915;281.58759046
7568916;404.05905542
7568917;257.52185769
7568920;355.68223266
7568922;457.17169101
7568923;361.08212553
7568924;195.09642358
7568926;244.93272074
7568927;221.34280971
7568928;257.73173709
7568930;442.36878967
7568931;313.37421112
7568933;497.61772241
7568934;223.41581453
7568935;290.03259503
7568937;350.48328194
7568938;615.27793189
7568939;281.6943045
7568940;231.95856338
7568943;322.71484125
7568945;273.99804646
7568948;384.54323292
7568950;267.38608351
7568952;172.21807828
7568957;191.28491223
7568959;201.2207361
7568961;699.42416613
7568963;407.94932973
7568965;514.79250744
7568966;166.16636885
7568967;276.77905437
7568968;434.47254425
7568970;475.25812302
7568971;257.73173709
7568972;286.13539743
7568973;273.26272804
7568974;216.77380397
7569183;59.168176816
7569184;55.576513125
7569186;57.639837232
7569188;64.823969956
7569189;60.660297038
7569190;89.818161291
7569192;80.902062372
7569193;64.776222838
7569194;89.00264875
7569222;158.42236049
7569223;231.62013394
7569224;166.05773275
7569225;217.70676246
7569226;118.81677036
7569267;63.82611705
7569268;90.895214702
7569269;71.295431707
7569270;50.607190989
7569271;35.887103285
7569272;45.809680095
7569273;46.242686568
7569274;45.809680095
7569275;74.847958611
7569276;74.601756098
7569277;69.384935544
7569278;82.1529015
7569279;42.941832991
7569281;93.29436412
7569282;71.414475854
7569283;46.441221907
7569284;82.322623146
7569285;58.989252286
7569288;46.441221907
7569289;38.811592594
7569293;27.912191444
7569294;39.361148547
7569295;45.681826234
7569296;135.71585823
7569297;49.621673678
7569298;56.84644433
7569299;70.066222154
7569300;50.876959753
7569301;58.543646054
7569302;61.516089349
7569303;52.928511513
7569305;25.805400655
7569306;11.777725375
7569307;24.346074778
7569308;20.746550184
7569309;26.383665378
7569310;8.8456972144
7569311;9.1951308428
7569312;10.844041058
7569313;8.2377424544
7569314;10.49601153
7569315;6.7515422303
7569316;11.029360595
7569317;11.781056032
7569319;22.648716675
7569320;30.320086303
7569321;25.786599066
7569322;17.210516574
7569323;32.952314547
7569326;38.709950595
7569327;28.857565366
7569573;334.53555667
7569574;367.59526925
7569575;263.07273561
7569576;260.67724907
7569577;241.53197234
7569578;201.92101508
7569579;310.1369723
7569580;301.23141383
7569667;180.85857053
7569668;204.99647211
7569669;300.7959736
7569670;309.94731237
7569671;174.22524253
7569672;256.11835333
7569673;290.92003268
7569674;194.50537062
7569675;285.05725627
7569676;344.16908537
7569677;216.47015128
7569678;51.321130075
7569679;48.32986134
7569680;57.555532347
7569681;41.985264721
7569760;133.37735368
7569761;350.98526314
7569762;259.74327884
7569763;356.95218064
7569764;259.0633358
7569765;152.32347945
7569766;319.66485997
7569767;175.14197958
7569768;425.06349463
7569769;219.2867362
7569771;167.95923865
7569772;276.81193183
7569773;230.31688577
7569774;250.12108472
7569775;143.54027885
7569776;110.16265968
7569777;159.45015169
7569778;157.16325028
7569779;217.53304901
7569780;207.51219925
7569782;306.58133203
7569783;251.89515137
7569784;307.8975809
7569785;177.62262729
7569786;196.04645849
7569787;191.63902973
7569788;129.18625096
7569789;221.2658756
7569967;67.916141118
7569968;99.38814059
7569970;90.098721197
7569971;94.304412417
7569972;54.021746349
7569973;124.16865542
7569974;103.49249434
7569975;88.547161364
7569977;136.27060626
7569978;98.44640043
7569981;124.20005284
7569983;124.23517574
7569984;110.6839517
7569986;96.950923111
7569987;121.55060329
7569988;116.29348926
7569989;152.83705102
7569990;98.537949371
7569991;96.965729817
7569993;98.44640043
7569994;129.85952
7569996;112.6234015
7569997;170.70070122
7569998;146.66983548
7570000;108.62353743
7570001;92.861456951
7570002;152.98486556
7570003;139.44146263
7570004;119.20030747
7570005;136.46899297
7570006;70.404144631
7570007;55.965098737
7570008;58.807809386
7570009;103.01006942
7570010;92.835019676
7570011;93.078676409
7570012;55.561430022
7570013;74.358242755
7570014;92.861456951
7570015;118.56067311
7570016;122.27694982
7570017;169.58393135
7570018;142.56960151
7570019;150.65494345
7570020;86.346152337
7570021;74.358242755
7570022;120.14754163
7570023;114.72414596
7570024;161.54540597
7570025;65.777593295
7570026;75.030695966
7570455;319.89208902
7570457;747.93428695
7570458;879.0772247
7570459;635.07987847
7570460;474.66988024
7570461;513.2813613
7570462;508.68114142
7570674;10.015361055
7570675;12.562323455
7570676;12.562323455
7570678;14.076901658
7570679;12.202705753
7570680;11.969235417
7570681;17.56135941
7570682;9.8450689998
7570683;11.814020664
7570684;13.080688628
7570685;15.863517479
7570686;12.977106634
7570687;16.331020492
7570689;12.704246966
7570690;16.998455031
7570691;9.8739676137
7570692;13.019969371
7570693;9.3433490201
7570694;8.1986866663
7570695;14.765364417
7570696;11.415579792
7570697;12.293701315
7570698;7.5628107363
7570699;14.288625461
7570700;15.981811709
7570701;15.802798222
7570702;11.665014637
7570703;7.8572453406
7570704;12.202705753
7570705;13.198982858
7570706;12.293701315
7570707;9.2999781224
