"","DIRECTORIO","SECUENCIA_P","moda_estado","madres_jovenes"
"244",7567242,1,3,1
"245",7567243,1,2,0
"246",7567246,1,3,0
"247",7567248,1,1,0
"248",7567249,1,1,0
"249",7567250,1,3,1
"250",7567251,1,2,1
"251",7567253,1,2,0
"252",7567254,1,2,0
"253",7567255,1,2,0
"254",7567256,1,1,0
"255",7567257,1,2,0
"256",7567258,1,2,0
"257",7567259,1,2,0
"258",7567260,1,3,1
"259",7567261,1,2,1
"260",7567263,1,2,1
"261",7567264,1,2,1
"262",7567265,1,3,1
"263",7567266,1,2,0
"264",7567267,1,2,1
"265",7567268,1,1,1
"266",7567269,1,1,0
"267",7567270,1,3,0
"268",7567271,1,2,0
"269",7567272,1,2,1
"270",7567274,1,2,0
"271",7567275,1,2,1
"272",7567276,1,2,0
"273",7567278,1,1,1
"274",7567281,1,2,1
"275",7567282,1,2,1
"276",7567283,1,2,0
"277",7567284,1,2,0
"278",7567285,1,2,0
"279",7567286,1,2,1
"280",7567287,1,2,0
"281",7567288,1,2,1
"282",7567289,1,3,1
"283",7567290,1,2,1
"284",7567291,1,2,1
"285",7567292,1,2,0
"286",7567294,1,2,0
"287",7567295,1,2,0
"288",7567296,1,2,0
"289",7567297,1,3,0
"290",7567299,1,1,0
"291",7567300,1,3,0
"292",7567303,1,1,0
"293",7567305,1,2,1
"294",7567306,1,2,0
"295",7567307,1,2,0
"296",7567308,1,1,1
"297",7567309,1,1,1
"298",7567310,1,2,1
"299",7567311,1,2,0
"300",7567312,1,1,1
"301",7567313,1,3,0
"302",7567314,1,2,0
"303",7567315,1,2,0
"304",7567316,1,2,0
"305",7567318,1,2,2
"306",7567320,1,2,0
"307",7567321,1,1,2
"308",7567322,1,1,0
"309",7567323,1,1,0
"310",7567324,1,2,0
"311",7567326,1,1,0
"312",7567329,1,2,0
"313",7567332,1,1,0
"314",7567334,1,2,0
"315",7567335,1,2,1
"316",7567336,1,1,0
"317",7567340,1,2,1
"318",7567341,1,1,0
"319",7567342,1,2,1
"320",7567346,1,1,0
"321",7567347,1,1,0
"322",7567349,1,2,0
"323",7567350,1,1,0
"324",7567351,1,1,0
"325",7567356,1,1,2
"326",7567364,1,2,0
"327",7567373,1,2,0
"328",7567374,1,2,0
"329",7567375,1,2,0
"330",7567377,1,2,0
"331",7567379,1,3,1
"332",7567380,1,2,1
"333",7567381,1,2,1
"334",7567382,1,3,0
"335",7567383,1,2,0
"336",7567384,1,2,0
"337",7567385,1,2,2
"338",7567386,1,2,0
"339",7567387,1,2,1
"340",7567389,1,2,0
"341",7567390,1,2,1
"342",7567391,1,2,2
"343",7567392,1,1,0
"344",7567393,1,1,1
"345",7567396,1,3,0
"346",7567397,1,1,1
"347",7567398,1,1,0
"348",7567399,1,2,1
"349",7567405,1,3,0
"350",7567406,1,2,1
"351",7567407,1,2,0
"352",7567410,1,2,1
"353",7567411,1,2,0
"354",7567412,1,1,0
"355",7567414,1,2,1
"356",7567415,1,2,0
"357",7567417,1,2,0
"358",7567418,1,2,0
"359",7567419,1,2,1
"360",7567420,1,2,0
"361",7567422,1,2,0
"362",7567423,1,2,1
"363",7567425,1,2,0
"364",7567426,1,2,0
"365",7567427,1,2,0
"366",7567428,1,2,1
"367",7567429,1,2,0
"368",7567430,1,2,0
"369",7567431,1,2,0
"370",7567433,1,2,0
"371",7567436,1,3,1
"372",7567439,1,1,0
"373",7567440,1,1,1
"374",7567441,1,1,0
"375",7567442,1,2,0
"376",7567443,1,2,0
"377",7567444,1,2,0
"378",7567445,1,3,1
"379",7567446,1,3,1
"380",7567447,1,3,0
"381",7567448,1,3,0
"382",7567449,1,2,0
"383",7567450,1,3,1
"384",7567451,1,2,1
"385",7567453,1,3,0
"386",7567455,1,2,0
"387",7567456,1,3,1
"388",7567457,1,2,1
"389",7567459,1,2,1
"390",7567460,1,2,1
"391",7567462,1,2,1
"392",7567463,1,2,0
"393",7567465,1,3,0
"394",7567466,1,2,0
"395",7567468,1,3,0
"396",7567469,1,1,0
"397",7567471,1,2,0
"398",7567472,1,2,0
"399",7567474,1,2,1
"400",7567475,1,2,0
"401",7567476,1,2,0
"402",7567477,1,2,1
"403",7567478,1,2,0
"404",7567479,1,2,0
"405",7567480,1,2,0
"406",7567481,1,2,0
"407",7567483,1,2,0
"408",7567484,1,1,1
"409",7567485,1,2,0
"410",7567486,1,1,0
"411",7567487,1,2,0
"412",7567488,1,2,0
"413",7567490,1,2,0
"414",7567491,1,2,1
"415",7567492,1,3,1
"416",7567493,1,2,1
"417",7567494,1,2,1
"418",7567495,1,2,1
"419",7567496,1,2,1
"420",7567497,1,2,0
"421",7567498,1,2,0
"422",7567499,1,2,0
"423",7567500,1,1,1
"424",7567501,1,3,0
"425",7567506,1,2,1
"426",7567507,1,2,0
"427",7567508,1,1,1
"428",7567509,1,2,0
"429",7567510,1,2,0
"430",7567511,1,2,1
"431",7567512,1,2,1
"432",7567514,1,2,0
"433",7567515,1,2,1
"434",7567516,1,2,1
"435",7567517,1,2,0
"436",7567518,1,2,0
"437",7567519,1,2,0
"438",7567520,1,1,0
"439",7567520,2,2,0
"440",7567521,1,2,1
"441",7567522,1,2,1
"442",7567523,1,2,0
"443",7567524,1,2,1
"444",7567525,1,2,0
"445",7567526,1,1,0
"446",7567527,1,2,0
"447",7567530,1,2,0
"448",7567531,1,1,0
"449",7567532,1,2,1
"450",7567533,1,2,1
"451",7567534,1,2,1
"452",7567535,1,3,1
"453",7567536,1,3,1
"454",7567537,1,2,1
"455",7567539,1,2,1
"456",7567540,1,3,1
"457",7567541,1,2,1
"458",7567542,1,2,0
"459",7567543,1,1,2
"460",7567544,1,3,0
"461",7567545,1,2,1
"462",7567546,1,2,0
"463",7567547,1,1,1
"464",7567548,1,2,1
"465",7567549,1,2,1
"466",7567550,1,1,1
"467",7567551,1,2,1
"468",7567553,1,1,0
"469",7567554,1,2,0
"470",7567555,1,2,0
"471",7567556,1,2,0
"472",7567557,1,2,0
"473",7567558,1,2,1
"474",7567559,1,2,1
"475",7567560,1,2,1
"476",7567561,1,1,1
"477",7567562,1,2,1
"478",7567563,1,3,1
"479",7567564,1,2,1
"480",7567565,1,2,1
"481",7567566,1,2,1
"482",7567567,1,2,0
"483",7567569,1,1,0
"484",7567570,1,2,0
"485",7567572,1,2,1
"486",7567573,1,2,2
"487",7567574,1,2,1
"488",7567576,1,1,0
"489",7567577,1,2,1
"490",7567578,1,2,1
"491",7567579,1,3,0
"492",7567580,1,2,0
"493",7567581,1,2,0
"494",7567582,1,2,1
"495",7567583,1,2,0
"496",7567584,1,2,1
"497",7567585,1,1,0
"498",7567586,1,3,0
"499",7567587,1,3,1
"500",7567588,1,2,1
"501",7567589,1,2,1
"502",7567591,1,1,0
"503",7567592,1,1,1
"504",7567593,1,2,1
"505",7567594,1,3,0
"506",7567595,1,1,0
"507",7567595,2,2,1
"508",7567596,1,2,1
"509",7567597,1,1,1
"510",7567598,1,2,0
"511",7567599,1,2,3
"512",7567601,1,1,0
"513",7567602,1,1,1
"514",7567603,1,1,1
"515",7567604,1,2,1
"516",7567607,1,2,0
"517",7567608,1,2,1
"518",7567609,1,2,0
"519",7567610,1,3,0
"520",7567612,1,2,0
"521",7567613,1,2,0
"522",7567615,1,1,1
"523",7567616,1,3,0
"524",7567617,1,2,1
"525",7567618,1,1,0
"526",7567619,1,2,0
"527",7567620,1,1,0
"528",7567624,1,2,0
"529",7567625,1,2,0
"530",7567629,1,2,2
"531",7567630,1,2,1
"532",7567631,1,3,0
"533",7567632,1,2,1
"534",7567633,1,2,1
"535",7567634,1,3,0
"536",7567635,1,2,1
"537",7567637,1,2,0
"538",7567639,1,2,1
"539",7567641,1,2,1
"540",7567643,1,2,1
"541",7567646,1,1,1
"542",7567647,1,1,0
"543",7567649,1,1,1
"544",7567650,1,2,1
"545",7567652,1,2,1
"546",7567653,1,2,1
"547",7567654,1,1,1
"548",7567655,1,3,0
"549",7567656,1,3,0
"550",7567657,1,2,1
"551",7567658,1,3,0
"552",7567659,1,2,0
"553",7567660,1,2,1
