"","DIRECTORIO","SECUENCIA_P","CLASE","CANT_HOGARES_VIVIENDA","P2102","P1070","P4005","P4015","P4567","P8520S1A1","P8520S5","P8520S3","P8520S4"
"9384",7592218,1,1,1,4,1,1,4,2,3,1,1,1
"9385",7592219,1,1,1,4,1,1,4,3,3,1,1,1
"9386",7592221,1,1,1,4,1,1,4,3,3,1,1,1
"9387",7592222,1,1,1,4,1,1,4,3,3,1,1,1
"9388",7592223,1,2,1,1,1,1,4,2,1,2,2,2
"9389",7592224,1,1,1,4,1,1,4,3,3,1,1,1
"9390",7592225,1,1,1,4,1,1,4,3,3,1,1,1
"9391",7592226,1,1,3,1,1,1,6,3,1,1,2,1
"9392",7592227,1,2,1,1,1,1,4,3,2,1,2,1
"9393",7592228,1,2,1,4,1,1,6,2,2,1,2,1
"9394",7592229,1,2,1,4,1,1,4,1,2,1,2,1
"9395",7592230,1,2,1,1,1,4,6,4,1,1,1,1
"9396",7592231,1,2,1,3,1,1,6,2,2,1,2,2
"9397",7592232,1,2,1,3,1,1,6,2,1,2,2,1
"9398",7592233,1,2,1,1,1,1,4,2,2,1,2,1
"9399",7592234,1,2,1,1,1,3,6,4,2,1,2,1
"9400",7592235,1,2,1,1,1,1,4,3,2,1,2,2
"9401",7592236,1,2,1,1,1,3,6,4,1,1,1,1
"9402",7592237,1,2,1,4,1,1,5,1,2,1,2,1
"9403",7592238,1,2,1,1,2,3,6,4,1,1,1,1
"9404",7592239,1,2,1,1,1,1,4,3,2,1,2,2
"9405",7592240,1,2,1,1,1,3,6,4,1,1,2,1
"9406",7592241,1,2,1,4,1,1,4,2,2,1,2,1
"9407",7592242,1,2,1,3,1,1,6,3,2,1,2,2
"9408",7592243,1,2,1,3,1,1,6,3,1,1,2,1
"9409",7592245,1,2,1,1,1,3,6,2,1,1,1,1
"9410",7592246,1,2,1,4,1,1,4,4,2,1,1,1
"9411",7592248,1,2,1,3,1,1,6,3,2,1,2,1
"9412",7592249,1,1,1,4,1,1,4,3,4,1,1,1
"9413",7592251,1,1,1,4,1,1,4,3,4,1,1,1
"9414",7592252,1,1,1,4,1,1,6,4,2,1,1,1
"9415",7592253,1,1,1,4,1,1,4,3,5,1,1,1
"9416",7592254,1,1,1,4,2,1,4,1,2,1,1,1
"9417",7592255,1,1,1,2,2,1,4,1,4,1,1,1
"9418",7592256,1,1,1,2,2,1,4,1,4,1,1,1
"9419",7592257,1,1,1,4,1,1,4,3,3,1,1,1
"9420",7592258,1,1,1,4,1,1,4,3,3,1,1,1
"9421",7592259,1,1,1,4,1,1,4,4,2,1,1,1
"9422",7592260,1,1,1,4,2,1,4,1,2,1,1,1
"9423",7592261,1,1,1,4,2,1,4,1,3,1,1,1
"9424",7592263,1,1,1,4,1,1,4,3,3,1,1,1
"9425",7592264,1,1,1,4,2,1,4,3,3,1,1,1
"9426",7592266,1,1,1,4,1,1,4,3,2,1,1,1
"9427",7592268,1,1,1,4,2,1,4,3,2,1,1,1
"9428",7592269,1,1,1,4,1,1,4,4,2,1,1,1
"9429",7592270,1,1,1,4,2,1,6,4,2,1,1,1
"9430",7592271,1,1,1,4,1,1,4,2,2,1,1,1
"9431",7592272,1,1,1,4,5,9,7,4,NA,2,2,2
"9432",7592273,1,2,1,3,1,1,4,3,2,1,2,1
"9433",7592274,1,1,1,4,2,1,4,3,2,1,1,1
"9434",7592275,1,1,1,4,1,1,4,3,2,1,1,1
"9435",7592276,1,1,1,4,2,1,4,4,2,1,1,1
"9436",7592277,1,1,1,4,1,1,4,3,3,1,1,1
"9437",7592278,1,1,1,4,1,1,4,3,3,1,1,1
"9438",7592279,1,1,1,4,2,1,4,1,1,1,1,1
"9439",7592280,1,1,1,4,1,1,4,4,2,1,1,1
"9440",7592281,1,1,1,4,2,1,4,1,2,1,1,1
"9441",7592282,1,2,1,3,1,1,4,3,1,1,2,1
"9442",7592283,1,1,1,4,1,1,4,4,2,1,1,1
"9443",7592284,1,1,1,4,1,3,6,4,2,1,1,1
"9444",7592285,1,1,1,4,2,1,6,1,2,1,1,1
"9445",7592287,1,2,1,3,1,1,6,3,0,2,2,1
"9446",7592288,1,1,1,4,1,4,6,3,2,1,1,1
"9447",7592289,1,1,1,4,2,3,6,4,2,1,1,1
"9448",7592290,1,2,1,1,1,1,4,3,2,1,2,1
"9449",7592291,1,2,1,1,1,1,6,3,0,1,2,2
"9450",7592292,1,2,1,3,1,1,4,3,1,1,2,1
"9451",7592293,1,2,1,4,1,1,4,3,3,1,1,1
"9452",7592295,1,2,1,4,1,1,4,3,3,1,1,1
"9453",7592297,1,2,1,1,1,1,6,3,0,2,2,2
"9454",7592298,1,2,1,1,1,1,4,3,2,1,2,1
"9455",7592299,1,2,1,4,1,1,4,3,3,1,1,1
"9456",7592301,1,1,1,4,1,1,4,1,2,1,1,1
"9457",7592302,1,2,1,4,1,1,4,1,3,1,1,1
"9458",7592303,1,1,1,4,1,1,4,3,2,1,1,1
"9459",7592304,1,1,1,2,1,1,4,1,2,1,1,1
"9460",7592305,1,1,1,4,1,1,4,1,2,1,1,1
"9461",7592306,1,1,1,2,1,1,4,1,2,1,1,1
"9462",7592307,1,1,1,4,2,1,4,3,2,1,1,1
"9463",7592308,1,1,1,4,1,1,4,1,2,1,1,1
"9464",7592309,1,2,1,1,1,2,6,2,2,1,2,1
"9465",7592310,1,1,1,4,1,1,4,3,2,1,1,1
"9466",7592311,1,1,1,2,1,1,4,1,2,1,1,1
"9467",7592312,1,1,1,2,1,1,4,4,2,1,1,1
"9468",7592313,1,1,1,4,1,1,4,4,2,1,1,1
"9469",7592314,1,1,1,3,1,1,4,4,2,1,1,1
"9470",7592315,1,1,1,2,1,1,4,4,2,1,1,1
"9471",7592316,1,1,1,2,1,1,4,4,2,1,1,1
"9472",7592317,1,1,1,2,1,1,4,3,2,1,1,1
"9473",7592318,1,1,1,4,1,1,4,3,1,1,1,1
"9474",7592319,1,1,1,4,1,1,6,3,1,1,1,1
"9475",7592320,1,1,1,2,1,1,6,4,1,1,1,1
"9476",7592322,1,1,1,4,1,1,4,3,1,1,1,1
"9477",7592324,1,2,1,3,1,1,6,3,2,1,2,2
"9478",7592326,1,2,1,3,1,1,4,3,2,1,2,2
"9479",7592327,1,2,1,3,1,1,4,3,2,1,2,2
"9480",7592328,1,2,1,1,1,4,6,4,2,1,2,2
"9481",7592329,1,2,1,3,1,1,4,3,2,1,2,2
"9482",7592332,1,2,1,1,1,3,6,4,2,1,2,2
"9483",7592333,1,2,1,3,1,1,4,3,2,1,2,2
"9484",7592334,1,2,1,3,1,2,4,2,2,1,2,2
"9485",7592336,1,2,1,1,1,1,6,4,2,1,2,2
"9486",7592339,1,2,1,3,1,1,4,2,2,1,2,2
"9487",7592343,1,2,1,3,1,1,4,1,2,1,2,2
"9488",7592344,1,2,1,1,1,1,6,4,2,1,2,2
"9489",7592345,1,2,1,1,1,2,6,4,1,1,2,2
"9490",7592346,1,2,1,1,1,1,6,4,1,2,2,2
"9491",7592347,1,2,1,1,1,1,6,4,1,2,2,2
"9492",7592348,1,2,1,1,1,1,6,4,2,1,2,2
"9493",7592349,1,2,1,1,1,2,6,2,2,1,2,2
"9494",7592350,1,2,1,1,1,1,4,4,1,2,2,2
"9495",7592351,1,2,1,1,1,1,4,2,2,1,2,2
"9496",7592352,1,2,1,1,1,1,4,2,1,1,2,2
"9497",7592353,1,2,1,1,1,1,4,4,2,1,2,2
"9498",7592354,1,2,1,1,1,1,6,4,1,1,2,2
"9499",7592355,1,2,1,1,1,1,6,2,1,1,2,2
"9500",7592356,1,2,1,1,1,1,6,4,1,1,2,2
"9501",7592357,1,2,1,1,1,1,6,3,1,1,2,2
"9502",7592358,1,2,1,1,1,1,6,2,2,1,2,2
"9503",7592359,1,2,1,1,1,1,6,4,1,1,2,2
"9504",7592360,1,2,1,1,1,1,6,4,1,1,2,2
"9505",7592361,1,2,1,1,1,1,4,3,0,1,2,2
"9506",7592362,1,2,1,1,1,1,6,4,1,1,2,2
"9507",7592363,1,2,1,1,1,1,6,2,2,1,2,2
"9508",7592364,1,1,1,2,1,1,4,2,2,1,1,1
"9509",7592365,1,2,1,1,1,4,7,6,NA,2,2,2
"9510",7592366,1,2,1,1,3,4,6,4,0,2,2,2
"9511",7592369,1,2,1,4,1,1,6,4,1,2,2,1
"9512",7592371,1,1,1,1,1,1,6,4,1,1,1,1
"9513",7592372,1,2,1,1,3,4,6,4,0,2,2,2
"9514",7592379,1,2,1,1,1,1,4,4,1,2,2,1
"9515",7592380,1,2,1,1,1,1,6,4,1,2,2,1
"9516",7592382,1,2,1,1,1,1,6,4,NA,2,2,2
"9517",7592383,1,1,1,1,1,1,6,4,1,1,1,1
"9518",7592384,1,2,1,1,3,4,6,4,0,2,2,2
"9519",7592385,1,2,1,1,1,5,5,2,9,1,2,2
"9520",7592387,1,1,1,1,1,1,6,4,1,1,1,1
"9521",7592388,1,1,1,1,1,1,6,4,1,1,1,1
"9522",7592389,1,2,1,1,3,4,7,4,0,2,2,2
"9523",7592393,1,2,1,4,1,1,6,4,1,2,2,1
"9524",7592394,1,1,1,1,1,1,6,4,1,1,2,1
"9525",7592397,1,1,1,1,1,1,4,1,1,1,1,1
"9526",7592398,1,2,1,1,1,1,4,2,9,1,2,2
"9527",7592401,1,2,1,3,1,1,6,4,1,2,2,1
"9528",7592403,1,2,1,1,1,1,6,4,NA,2,2,2
"9529",7592409,1,1,1,1,1,1,6,4,1,1,1,1
"9530",7592412,1,1,1,4,2,1,4,1,3,1,1,1
"9531",7592414,1,1,1,4,2,1,4,3,2,1,1,1
"9532",7592416,1,2,1,1,1,9,6,4,1,2,2,1
"9533",7592420,1,2,1,1,1,1,6,2,9,1,2,2
"9534",7592422,1,1,1,4,1,1,4,4,2,1,1,1
"9535",7592424,1,1,1,2,2,1,4,1,2,1,1,1
"9536",7592425,1,1,1,1,1,1,6,4,1,1,1,1
"9537",7592428,1,1,1,2,1,1,4,1,2,1,1,1
"9538",7592429,1,1,1,2,1,1,6,3,2,1,1,1
"9539",7592433,1,1,1,2,2,1,4,1,2,1,1,1
"9540",7592434,1,1,1,4,1,1,4,4,2,1,1,1
"9541",7592435,1,2,1,3,1,1,4,4,1,2,2,1
"9542",7592437,1,1,1,4,1,1,6,3,3,1,1,1
"9543",7592438,1,1,1,4,1,1,4,1,2,1,1,1
"9544",7592439,1,1,1,4,1,1,4,3,2,1,1,1
"9545",7592440,1,1,1,4,1,1,4,1,2,1,1,1
"9546",7592441,1,1,1,2,1,1,4,1,3,1,1,1
"9547",7592442,1,1,1,4,1,1,4,1,1,1,1,1
"9548",7592444,1,1,1,4,1,1,4,3,2,1,1,1
"9549",7592445,1,1,1,4,1,1,4,1,3,1,1,1
"9550",7592446,1,1,1,4,1,1,4,4,3,1,1,1
"9551",7592447,1,1,1,4,2,1,4,1,3,1,1,1
"9552",7592449,1,1,1,4,2,1,4,1,3,1,1,1
"9553",7592450,1,1,1,4,1,1,4,3,2,1,1,1
"9554",7592451,1,1,1,2,1,1,4,1,3,1,1,1
"9555",7592453,1,1,1,4,2,1,4,3,2,1,1,1
"9556",7592454,1,1,1,4,2,1,4,1,3,1,1,1
"9557",7592455,1,2,1,1,1,1,6,4,1,2,2,1
"9558",7592456,1,1,1,4,1,1,6,3,2,1,1,1
"9559",7592457,1,1,1,4,1,1,4,3,3,1,1,1
"9560",7592458,1,1,1,4,1,1,4,2,3,1,1,1
"9561",7592459,1,1,1,4,2,1,4,3,2,1,1,1
"9562",7592461,1,1,1,3,2,1,4,4,3,1,1,1
"9563",7592462,1,1,1,4,1,1,4,2,3,1,1,1
"9564",7592463,1,1,1,4,1,1,4,1,1,1,1,1
"9565",7592464,1,1,1,2,1,1,4,1,2,1,1,1
"9566",7592466,1,1,1,4,1,1,4,4,3,1,1,1
"9567",7592467,1,1,1,4,3,1,4,1,9,1,1,1
"9568",7592468,1,2,1,1,1,1,4,4,1,2,2,1
"9569",7592469,1,1,1,3,1,1,4,3,3,1,1,1
"9570",7592470,1,1,1,4,1,1,4,1,2,1,1,1
"9571",7592471,1,1,1,4,1,1,6,4,2,1,2,1
"9572",7592472,1,1,1,4,1,1,4,3,3,1,1,1
"9573",7592473,1,1,1,1,1,1,6,4,1,1,2,1
"9574",7592475,1,1,1,4,4,9,7,4,1,1,2,1
"9575",7592476,1,1,1,1,1,9,7,4,NA,1,2,2
"9576",7592477,1,1,1,1,1,1,6,4,1,1,2,1
"9577",7592478,1,1,1,4,2,1,4,1,3,1,1,1
"9578",7592480,1,1,1,1,1,1,7,4,1,1,2,1
"9579",7592481,1,1,1,3,1,1,4,4,1,1,2,1
"9580",7592482,1,1,1,4,2,1,4,1,3,1,1,1
"9581",7592483,1,1,1,1,1,9,7,4,1,1,2,2
"9582",7592484,1,1,1,4,1,1,4,4,3,1,1,1
"9583",7592485,1,1,1,1,1,1,6,4,1,1,2,1
"9584",7592486,1,1,1,4,1,1,4,3,3,1,1,1
"9585",7592487,1,1,1,4,2,1,4,3,3,1,1,1
"9586",7592488,1,1,1,1,1,5,7,4,1,1,2,1
"9587",7592489,1,1,1,4,1,1,4,4,3,1,1,1
"9588",7592490,1,1,1,3,1,1,7,4,NA,1,2,1
"9589",7592492,1,1,1,4,1,1,4,3,3,1,1,1
"9590",7592495,1,1,1,4,1,1,4,3,3,1,1,1
"9591",7592496,1,1,1,3,1,1,4,1,2,1,1,1
"9592",7592497,1,1,1,1,1,1,6,4,1,1,2,1
"9593",7592499,1,1,1,4,1,1,4,1,3,1,1,1
"9594",7592500,1,1,1,3,2,1,4,3,3,1,1,1
"9595",7592501,1,1,1,3,1,1,4,4,NA,1,2,1
"9596",7592502,1,1,1,4,2,1,2,1,3,1,1,1
"9597",7592503,1,1,1,1,1,9,7,4,NA,1,2,1
"9598",7592504,1,1,1,4,1,1,4,1,3,1,1,1
"9599",7592505,1,1,1,4,2,1,4,1,3,1,1,1
"9600",7592506,1,1,1,2,1,1,4,3,2,1,1,1
"9601",7592507,1,1,1,4,1,1,6,4,2,1,2,1
"9602",7592508,1,1,1,3,1,1,4,1,3,1,1,1
"9603",7592509,1,1,1,1,1,1,6,4,1,2,2,2
"9604",7592510,1,1,1,4,1,1,4,3,2,1,1,1
"9605",7592511,1,1,1,2,3,1,7,3,1,1,1,1
"9606",7592515,1,1,1,1,1,9,7,4,NA,1,2,2
"9607",7592516,1,1,1,2,2,1,4,1,2,1,1,1
"9608",7592517,1,1,1,4,1,1,6,4,1,1,2,1
"9609",7592520,1,1,1,2,2,9,7,4,1,1,1,1
"9610",7592521,1,1,1,1,1,9,7,4,NA,1,2,2
"9611",7592522,1,1,1,4,1,1,4,1,2,1,1,1
"9612",7592523,1,1,1,1,1,1,7,4,1,1,2,2
"9613",7592524,1,1,1,2,3,1,6,3,1,1,2,1
"9614",7592525,1,1,1,3,1,1,6,3,1,1,1,1
"9615",7592526,1,1,1,4,1,1,6,4,1,1,2,1
"9616",7592527,1,1,1,4,2,1,6,3,2,1,1,1
"9617",7592529,1,1,1,1,1,1,6,4,NA,1,2,1
"9618",7592531,1,1,1,3,2,1,4,1,1,1,1,1
"9619",7592535,1,1,1,3,1,1,4,3,1,1,1,1
"9620",7592536,1,1,1,4,1,1,4,4,1,1,2,1
"9621",7592537,1,1,1,4,2,1,6,3,2,1,1,1
"9622",7592540,1,1,1,1,1,9,7,4,NA,1,2,2
"9623",7592541,1,1,1,2,1,1,4,3,2,1,1,1
"9624",7592542,1,1,1,1,4,9,7,4,NA,1,2,1
"9625",7592543,1,1,1,3,2,1,6,1,1,1,1,1
"9626",7592545,1,1,1,1,3,9,7,4,NA,1,2,1
"9627",7592546,1,2,1,2,1,1,4,3,1,2,2,1
"9628",7592547,1,1,1,4,1,1,6,4,2,1,2,1
"9629",7592548,1,1,1,4,1,5,7,4,1,1,1,1
"9630",7592549,1,1,1,4,1,1,4,3,3,1,1,1
"9631",7592550,1,1,1,4,1,1,4,4,2,1,2,1
"9632",7592551,1,1,1,4,1,1,4,3,2,1,1,1
"9633",7592552,1,1,1,1,4,9,7,4,NA,1,2,1
"9634",7592555,1,1,1,3,1,1,6,4,1,1,1,1
"9635",7592556,1,1,1,1,4,9,7,4,NA,1,2,1
"9636",7592557,1,1,1,4,1,1,6,4,2,1,2,1
"9637",7592558,1,1,1,1,1,9,7,4,NA,1,2,2
"9638",7592559,1,1,1,1,2,9,7,4,NA,1,2,1
"9639",7592560,1,2,1,1,1,1,6,3,1,1,2,1
"9640",7592561,1,1,1,1,3,9,7,7,NA,1,2,1
"9641",7592562,1,1,1,4,1,1,6,4,1,1,2,1
"9642",7592564,1,1,1,3,1,1,4,4,NA,1,2,2
"9643",7592565,1,1,1,1,1,1,6,4,1,1,2,2
"9644",7592566,1,2,1,4,1,1,5,1,1,1,2,1
"9645",7592568,1,1,1,3,1,1,6,4,1,1,2,2
"9646",7592570,1,1,1,3,5,9,7,4,1,1,2,2
"9647",7592571,1,2,1,3,1,1,4,2,1,2,2,2
"9648",7592572,1,1,1,1,1,1,6,4,1,1,2,1
"9649",7592573,1,2,1,1,1,1,6,3,1,1,2,1
"9650",7592574,1,1,1,4,1,1,5,4,2,1,2,1
"9651",7592575,1,1,1,3,1,1,6,4,1,1,2,2
"9652",7592576,1,1,1,3,1,1,6,4,NA,1,2,1
"9653",7592577,1,2,1,4,1,1,4,1,1,1,2,1
"9654",7592578,1,1,1,3,1,1,7,4,NA,1,2,1
"9655",7592580,1,1,1,4,1,1,4,4,2,1,2,1
"9656",7592581,1,1,1,3,2,1,6,1,2,1,1,1
"9657",7592582,1,1,1,4,2,1,6,4,2,2,1,1
"9658",7592584,1,1,1,1,1,5,5,4,1,1,2,1
"9659",7592585,1,1,1,3,3,1,6,4,9,1,1,1
"9660",7592586,1,2,1,3,1,1,6,4,1,1,2,2
"9661",7592587,1,1,1,1,1,5,5,4,1,1,2,1
"9662",7592588,1,1,1,3,1,1,7,4,2,2,2,1
"9663",7592589,1,1,1,3,1,5,6,4,2,1,1,1
"9664",7592590,1,1,1,3,1,1,4,4,1,1,1,1
"9665",7592591,1,1,1,3,1,1,6,4,1,1,1,1
"9666",7592592,1,2,1,1,2,1,6,3,1,1,2,2
"9667",7592593,1,2,1,4,1,1,6,3,1,1,2,1
"9668",7592594,1,1,1,3,1,5,7,4,1,2,1,1
"9669",7592595,1,1,1,3,2,1,4,4,1,1,2,1
"9670",7592596,1,1,1,3,2,1,4,4,1,2,2,1
"9671",7592601,1,2,1,1,1,1,6,4,1,2,2,2
"9672",7592602,1,2,1,4,2,1,6,3,1,1,2,1
"9673",7592604,1,2,1,3,1,1,6,4,1,1,2,2
"9674",7592606,1,2,1,1,2,1,6,3,1,1,2,2
"9675",7592607,1,2,1,4,1,1,6,3,1,1,2,1
"9676",7592610,1,2,1,1,1,1,6,3,0,1,2,2
"9677",7592611,1,2,1,1,3,1,6,3,1,1,2,2
"9678",7592612,1,2,1,4,1,2,6,2,1,1,2,1
"9679",7592614,1,2,1,1,1,1,6,4,1,1,2,2
"9680",7592616,1,2,1,4,1,1,6,4,1,2,1,2
"9681",7592617,1,2,1,1,1,9,7,4,1,1,2,2
"9682",7592618,1,2,1,1,1,5,7,4,1,1,2,2
"9683",7592621,1,2,1,4,1,1,6,3,1,2,1,2
"9684",7592623,1,2,1,4,1,1,6,1,1,1,2,1
"9685",7592624,1,2,1,1,1,1,4,3,NA,2,2,1
"9686",7592625,1,2,1,1,1,1,6,3,1,1,2,2
"9687",7592627,1,2,1,4,2,1,4,1,1,1,2,1
"9688",7592629,1,2,1,1,1,1,4,3,1,1,2,2
"9689",7592630,1,1,1,3,2,1,4,1,3,1,1,1
"9690",7592632,1,1,1,3,1,1,6,1,3,1,1,1
"9691",7592635,1,1,1,4,1,1,4,4,1,1,1,1
"9692",7592636,1,1,1,4,1,1,6,2,1,1,1,1
"9693",7592637,1,2,1,1,1,1,4,3,0,1,2,2
"9694",7592638,1,2,1,1,1,1,4,3,1,1,2,2
"9695",7592639,1,1,1,4,1,1,6,3,1,1,1,1
"9696",7592640,1,1,1,4,1,1,4,1,1,1,1,1
"9697",7592641,1,1,1,3,1,1,4,3,1,1,1,1
"9698",7592642,1,2,1,4,1,1,4,3,1,2,1,2
"9699",7592643,1,1,1,3,1,1,4,1,2,1,1,1
"9700",7592644,1,1,1,4,1,1,4,3,1,1,1,1
"9701",7592645,1,1,1,3,1,2,6,2,1,1,1,1
"9702",7592646,1,1,1,4,1,1,4,4,1,1,1,1
"9703",7592647,1,2,1,4,1,1,4,3,1,1,1,1
"9704",7592649,1,2,1,1,1,1,6,3,1,1,2,2
"9705",7592650,1,2,1,1,1,1,6,3,1,1,2,2
"9706",7592652,1,2,1,1,1,5,7,4,1,1,2,2
"9707",7592653,1,2,1,1,1,1,4,4,1,1,2,2
"9708",7592654,1,2,2,1,1,1,6,3,1,1,2,2
"9709",7592659,1,1,1,4,1,1,6,4,1,1,1,1
"9710",7592660,1,1,1,4,1,1,6,3,1,1,1,1
"9711",7592661,1,1,1,4,1,1,6,3,1,1,1,1
"9712",7592662,1,2,1,3,1,1,6,4,1,1,2,2
"9713",7592663,1,2,1,3,1,1,4,3,1,1,2,2
"9714",7592665,1,2,1,3,1,1,4,2,1,1,2,2
"9715",7592667,1,2,1,3,1,4,6,4,1,2,2,2
"9716",7592673,1,2,1,1,1,1,6,4,1,1,2,2
"9717",7592675,1,2,1,3,1,1,6,3,1,1,2,2
"9718",7592682,1,2,1,3,1,1,6,4,1,2,2,2
"9719",7592684,1,2,1,3,1,1,6,4,1,1,2,2
"9720",7592685,1,2,1,3,1,1,6,4,1,1,2,1
"9721",7592688,1,2,1,3,1,5,7,4,1,1,2,2
"9722",7592689,1,2,1,1,1,1,4,3,0,2,2,2
"9723",7592690,1,2,1,3,1,1,6,4,1,1,2,1
"9724",7592691,1,1,1,4,1,1,4,3,1,1,1,1
"9725",7592692,1,2,1,4,1,1,6,3,1,2,2,2
"9726",7592693,1,2,1,3,1,5,6,4,1,1,2,1
"9727",7592694,1,2,1,3,1,4,6,4,1,1,2,2
"9728",7592696,1,2,1,1,1,5,7,4,1,1,2,2
"9729",7592697,1,2,1,3,1,1,6,4,1,1,2,1
"9730",7592698,1,2,1,3,1,1,6,4,1,2,2,2
"9731",7592703,1,2,1,3,1,1,6,4,1,1,2,2
"9732",7592704,1,2,1,1,1,5,6,4,1,1,2,2
"9733",7592706,1,2,1,1,1,1,4,1,3,2,2,2
"9734",7592708,1,2,1,3,1,1,6,2,1,1,2,2
"9735",7592711,1,2,1,1,1,1,4,4,3,2,2,2
"9736",7592716,1,2,1,1,1,1,4,1,3,2,2,2
"9737",7592717,1,2,1,1,1,5,7,4,1,1,2,2
"9738",7592718,1,2,1,3,1,3,7,4,1,2,2,2
"9739",7592719,1,2,1,3,1,1,4,4,3,2,2,2
"9740",7592721,1,2,1,1,1,1,4,4,1,2,2,2
"9741",7592722,1,2,1,1,1,5,5,4,0,1,2,2
"9742",7592725,1,2,1,3,1,1,4,3,1,2,2,2
"9743",7592726,1,2,1,1,1,1,6,3,2,2,2,2
"9744",7592728,1,2,1,3,1,1,6,4,0,2,2,2
"9745",7592730,1,2,1,1,1,4,7,4,1,2,2,2
"9746",7592731,1,2,1,1,1,1,7,4,1,2,2,2
"9747",7592732,1,2,1,3,1,9,7,4,NA,2,2,2
"9748",7592733,1,2,1,3,1,1,6,4,1,2,2,2
"9749",7592734,1,1,1,4,1,1,4,3,2,1,1,1
"9750",7592736,1,2,1,3,1,5,5,4,1,2,2,2
"9751",7592738,1,1,1,4,1,1,4,1,3,1,1,1
"9752",7592741,1,2,1,1,1,1,6,2,1,2,2,2
"9753",7592746,1,2,1,1,1,4,7,4,NA,2,2,2
"9754",7592747,1,1,1,2,1,1,4,1,3,1,1,1
"9755",7592748,1,1,1,4,1,1,6,3,1,1,1,1
"9756",7592749,1,2,1,1,1,4,7,4,8,2,2,2
"9757",7592750,1,2,1,1,1,1,6,4,1,2,2,2
"9758",7592751,1,2,1,4,1,5,6,4,1,2,2,2
"9759",7592752,1,1,1,4,2,1,6,3,1,1,1,1
"9760",7592754,1,1,1,3,1,1,4,4,1,1,1,1
"9761",7592755,1,1,1,1,2,1,4,1,2,1,1,1
"9762",7592756,1,2,1,4,1,1,6,4,1,2,2,2
"9763",7592757,1,1,1,4,1,1,4,3,1,1,1,1
"9764",7592759,1,1,1,3,2,1,4,3,2,1,1,1
"9765",7592761,1,2,1,1,1,1,4,3,1,2,2,2
"9766",7592770,1,2,1,1,1,1,6,3,1,2,2,2
"9767",7592772,1,2,1,1,1,4,7,4,8,2,2,2
"9768",7592773,1,2,1,1,1,1,7,4,NA,2,2,2
"9769",7592774,1,2,1,3,1,3,6,4,1,2,2,2
"9770",7592775,1,1,1,1,2,1,6,3,2,1,1,1
"9771",7592777,1,1,1,4,2,1,6,3,2,1,1,1
"9772",7592778,1,1,1,4,1,1,4,3,2,1,1,1
"9773",7592779,1,2,1,4,1,1,6,4,1,2,2,2
"9774",7592780,1,1,1,2,1,1,6,3,1,1,1,1
"9775",7592781,1,1,1,4,1,1,6,3,2,1,1,1
"9776",7592782,1,1,1,4,1,1,6,3,2,1,1,1
"9777",7592783,1,2,1,1,1,1,6,4,1,2,2,2
"9778",7592785,1,1,1,4,1,1,6,3,2,1,1,1
"9779",7592787,1,1,1,4,1,1,4,3,2,1,1,1
"9780",7592788,1,2,1,3,1,1,6,4,2,1,2,2
"9781",7592789,1,1,1,4,1,1,6,3,1,1,1,1
"9782",7592791,1,1,1,4,1,1,4,3,2,1,1,1
"9783",7592792,1,2,1,1,1,1,6,4,0,2,2,2
"9784",7592793,1,1,1,4,1,1,6,3,2,1,1,1
"9785",7592794,1,2,1,1,1,1,6,3,1,2,2,2
"9786",7592795,1,1,1,3,1,1,6,4,1,1,2,1
"9787",7592796,1,1,1,1,1,1,6,3,1,1,2,1
"9788",7592797,1,1,1,1,1,1,6,3,1,1,2,1
"9789",7592799,1,1,1,1,1,1,6,3,1,1,1,1
"9790",7592800,1,2,1,1,1,1,6,4,1,2,2,2
"9791",7592801,1,1,1,1,2,1,6,3,1,1,1,1
"9792",7592802,1,2,1,3,1,1,6,4,2,1,2,2
"9793",7592803,1,1,1,3,3,1,6,3,1,1,1,1
"9794",7592804,1,1,1,1,1,5,7,4,1,1,1,1
"9795",7592805,1,1,1,4,1,1,6,3,1,1,1,1
"9796",7592806,1,1,1,2,1,1,6,3,1,1,1,1
"9797",7592807,1,2,1,1,1,1,6,3,1,2,2,2
"9798",7592808,1,1,1,4,1,1,6,3,1,1,1,1
"9799",7592811,1,1,1,4,2,1,4,3,1,1,1,1
"9800",7592813,1,1,1,4,1,1,4,3,1,1,1,1
"9801",7592814,1,2,1,1,1,1,6,4,1,2,2,2
"9802",7592815,1,1,1,4,1,1,4,3,1,1,1,1
"9803",7592816,1,1,1,4,1,1,4,3,1,1,1,1
"9804",7592817,1,1,1,4,1,1,4,3,1,1,1,1
"9805",7592819,1,2,1,3,1,1,6,4,2,2,2,2
"9806",7592821,1,1,1,4,1,1,6,3,1,1,1,1
"9807",7592822,1,1,1,2,3,1,6,3,1,1,1,1
"9808",7592823,1,1,1,4,2,1,6,3,1,1,1,1
"9809",7592824,1,1,1,4,2,1,6,3,1,1,1,1
"9810",7592826,1,2,1,1,1,4,7,4,NA,2,2,2
"9811",7592827,1,2,1,3,1,1,6,4,2,2,2,2
"9812",7592829,1,2,1,3,1,3,6,2,2,2,2,2
"9813",7592830,1,2,1,3,1,1,6,4,1,2,2,2
"9814",7592831,1,2,1,1,1,4,7,4,1,1,2,2
"9815",7592834,1,2,1,4,1,1,6,4,1,1,1,1
"9816",7592836,1,2,1,1,1,1,6,4,1,2,2,2
