"","DIRECTORIO","SECUENCIA_P","CLASE","CANT_HOGARES_VIVIENDA","P2102","P1070","P4005","P4015","P4567","P8520S1A1","P8520S5","P8520S3","P8520S4"
"101",7566992,1,1,1,3,1,1,4,3,1,1,1,1
"102",7566993,1,1,1,1,1,1,4,4,2,1,1,1
"103",7566994,1,1,1,3,1,1,6,3,1,1,1,1
"104",7566995,1,1,1,3,2,1,4,3,1,1,1,1
"105",7566998,1,1,1,1,1,1,7,4,1,1,1,1
"106",7567000,1,1,1,3,1,1,4,3,1,1,1,2
"107",7567001,1,1,1,1,1,1,6,4,1,1,1,1
"108",7567002,1,1,1,3,1,1,6,3,1,1,2,2
"109",7567005,1,1,1,1,3,9,7,4,1,2,2,2
"110",7567007,1,1,1,3,1,1,6,3,1,2,2,2
"111",7567008,1,1,1,3,2,9,7,7,1,2,2,2
"112",7567009,1,1,1,3,2,1,6,3,1,2,2,2
"113",7567010,1,1,1,1,1,1,6,3,9,2,2,2
"114",7567012,1,1,1,1,1,1,6,4,1,2,2,2
"115",7567013,1,1,1,3,5,5,7,4,1,2,2,2
"116",7567014,1,1,1,4,1,1,6,4,2,1,1,1
"117",7567016,1,1,1,4,1,1,4,4,2,1,2,1
"118",7567017,1,1,1,4,1,1,4,1,2,1,1,1
"119",7567018,1,1,1,1,1,1,4,1,2,1,1,1
"120",7567019,1,1,1,1,1,1,6,4,1,2,2,2
"121",7567021,1,2,1,1,4,4,7,4,NA,2,2,2
"122",7567022,1,2,1,1,4,4,7,4,NA,2,2,2
"123",7567027,1,1,1,4,1,1,4,4,2,1,1,1
"124",7567030,1,2,1,1,4,4,7,4,NA,2,2,2
"125",7567032,1,1,1,4,1,1,4,4,2,1,1,1
"126",7567033,1,1,1,4,1,1,6,4,2,1,1,1
"127",7567034,1,1,1,4,1,1,4,3,2,1,1,1
"128",7567035,1,1,1,1,1,1,4,3,2,1,1,1
"129",7567037,1,1,1,4,1,1,4,3,2,1,1,1
"130",7567038,1,1,1,4,1,1,4,3,2,1,1,1
"131",7567040,1,1,1,2,1,1,4,3,1,1,1,1
"132",7567041,1,1,1,4,2,1,6,4,2,1,1,1
"133",7567047,1,1,1,4,3,9,6,4,2,1,1,1
"134",7567049,1,1,1,4,3,9,6,4,2,1,1,1
"135",7567051,1,1,1,4,3,1,1,3,1,1,1,1
"136",7567052,1,1,1,4,3,9,6,4,2,1,1,1
"137",7567053,1,1,1,4,3,5,6,4,2,1,1,1
"138",7567054,1,1,1,3,1,1,4,3,1,1,1,1
"139",7567055,1,1,1,3,3,1,6,4,1,1,1,1
"140",7567056,1,1,1,3,1,1,6,3,1,1,1,1
"141",7567061,1,1,1,3,1,1,7,3,1,2,2,2
"142",7567062,1,1,1,3,1,1,6,3,1,2,2,2
"143",7567063,1,1,1,3,1,1,6,3,1,1,1,1
"144",7567064,1,1,1,3,2,1,6,4,1,1,1,1
"145",7567065,1,1,1,3,1,5,7,4,1,1,1,1
"146",7567066,1,1,1,3,3,9,7,4,1,1,1,1
"147",7567067,1,1,1,3,1,1,6,3,1,2,2,2
"148",7567068,1,1,1,3,1,1,7,3,1,1,1,1
"149",7567069,1,1,1,4,2,1,6,3,1,1,1,1
"150",7567070,1,1,1,4,3,1,7,4,1,1,1,1
"151",7567071,1,1,1,4,1,1,4,3,1,1,1,1
"152",7567072,1,1,1,3,1,1,6,3,1,1,1,1
"153",7567075,1,1,1,3,2,1,6,3,1,2,2,1
"154",7567078,1,1,1,3,1,1,4,3,1,1,1,1
"155",7567079,1,1,1,3,2,1,6,3,1,1,1,1
"156",7567081,1,1,1,3,2,1,4,3,1,1,1,1
"157",7567083,1,1,1,1,2,1,6,3,1,1,1,1
"158",7567084,1,1,1,2,1,1,6,4,1,1,1,1
"159",7567085,1,1,1,3,1,1,6,3,1,1,1,1
"160",7567090,1,1,1,2,1,1,4,3,1,2,1,1
"161",7567091,1,1,1,2,2,1,4,3,1,2,2,1
"162",7567093,1,1,1,4,2,1,4,5,1,1,1,1
"163",7567099,1,1,1,3,1,1,6,3,1,1,1,1
"164",7567103,1,1,1,3,1,1,4,3,1,1,1,1
"165",7567105,1,1,1,3,1,1,4,4,1,1,1,1
"166",7567106,1,1,1,3,1,1,4,3,1,1,1,1
"167",7567108,1,1,1,3,5,1,7,4,1,2,2,2
"168",7567111,1,1,1,3,3,5,7,4,1,2,2,1
"169",7567114,1,1,1,3,3,5,7,4,1,2,2,1
"170",7567116,1,1,1,4,1,1,4,3,1,1,1,1
"171",7567118,1,1,1,3,2,1,4,1,2,1,1,1
"172",7567119,1,1,1,3,2,1,4,1,2,1,1,1
"173",7567120,1,1,1,3,1,1,4,3,2,1,1,1
"174",7567121,1,1,1,3,1,1,6,3,2,1,1,1
"175",7567122,1,1,1,3,2,1,4,1,2,1,1,1
"176",7567123,1,1,1,3,1,1,4,1,3,1,1,1
"177",7567126,1,1,1,3,1,1,6,3,2,1,1,1
"178",7567130,1,1,1,3,1,1,4,3,1,1,1,1
"179",7567132,1,1,1,3,1,1,4,3,1,1,1,1
"180",7567133,1,1,1,3,1,1,6,4,1,1,1,1
"181",7567134,1,1,1,3,1,1,6,3,2,1,1,1
"182",7567135,1,1,1,4,1,1,6,3,1,1,1,1
"183",7567136,1,1,1,2,2,1,4,4,1,1,1,1
"184",7567138,1,1,1,2,1,1,4,4,1,1,1,1
"185",7567139,1,1,1,4,1,1,6,3,1,1,1,1
"186",7567142,1,1,1,3,1,1,6,3,1,1,1,1
"187",7567147,1,1,1,3,1,1,6,3,1,1,1,1
"188",7567158,1,2,1,3,1,5,6,4,1,1,2,2
"189",7567160,1,1,1,2,1,1,4,1,2,1,2,1
"190",7567162,1,1,1,4,1,1,4,3,2,1,2,1
"191",7567164,1,1,1,4,1,1,7,4,2,1,2,1
"192",7567165,1,1,1,4,1,1,4,3,1,1,2,1
"193",7567166,1,1,1,4,1,1,1,3,2,1,2,1
"194",7567167,1,1,1,4,1,1,1,3,2,1,2,1
"195",7567168,1,1,1,4,1,1,4,1,1,1,2,1
"196",7567183,1,2,1,1,1,1,6,3,NA,2,2,2
"197",7567184,1,2,1,1,1,1,6,4,NA,2,2,2
"198",7567185,1,2,1,1,1,5,7,4,NA,2,2,2
"199",7567186,1,2,1,1,1,1,6,4,NA,2,2,2
"200",7567187,1,2,1,1,1,1,6,2,NA,2,2,2
"201",7567188,1,2,1,1,1,1,6,4,NA,2,2,2
"202",7567189,1,2,1,1,1,1,6,3,NA,2,2,2
"203",7567190,1,2,1,1,1,1,6,4,NA,2,2,2
"204",7567191,1,2,1,1,1,1,7,4,NA,2,2,2
"205",7567192,1,2,1,1,1,1,6,4,NA,2,2,2
"206",7567193,1,1,1,4,1,1,6,4,1,1,2,2
"207",7567194,1,1,1,2,1,1,6,3,1,1,2,1
"208",7567195,1,1,1,4,1,1,6,3,1,1,2,1
"209",7567196,1,1,1,4,1,1,4,3,1,1,2,1
"210",7567197,1,1,1,1,1,1,4,4,1,1,2,2
"211",7567200,1,1,1,1,1,1,6,3,1,1,2,2
"212",7567201,1,1,1,3,1,1,4,3,1,1,2,2
"213",7567202,1,1,1,1,1,1,4,3,1,1,2,2
"214",7567203,1,1,1,4,1,1,6,3,1,1,2,1
"215",7567206,1,1,1,1,1,1,4,4,1,1,2,2
"216",7567207,1,1,1,4,1,1,6,3,1,1,2,1
"217",7567208,1,1,1,4,1,1,4,4,1,1,2,2
"218",7567209,1,1,1,4,1,1,6,4,1,1,2,2
"219",7567210,1,1,1,1,1,1,4,3,1,1,2,2
"220",7567211,1,1,1,4,1,1,6,3,1,1,2,1
"221",7567212,1,1,1,4,1,1,7,3,1,1,2,2
"222",7567213,1,2,1,1,1,5,7,4,0,2,2,2
"223",7567214,1,2,1,1,1,5,5,4,NA,2,2,2
"224",7567216,1,2,1,1,1,5,7,4,0,2,2,2
"225",7567218,1,2,1,1,1,4,7,4,NA,2,2,2
"226",7567220,1,2,1,1,1,5,6,4,NA,2,2,2
"227",7567223,1,1,1,4,2,1,4,3,2,1,1,1
"228",7567224,1,1,1,4,1,1,4,3,3,1,1,1
"229",7567225,1,1,1,4,1,1,6,3,2,1,1,1
"230",7567226,1,1,1,4,1,1,4,1,3,1,1,1
"231",7567227,1,1,1,4,1,1,4,3,3,1,1,1
"232",7567229,1,1,1,4,2,1,4,1,2,1,1,1
"233",7567230,1,1,1,2,1,1,4,1,2,1,1,1
"234",7567231,1,1,1,4,1,1,4,3,2,1,1,1
"235",7567232,1,1,1,4,2,1,4,3,3,1,1,1
"236",7567234,1,1,1,4,1,1,4,1,2,1,1,1
"237",7567235,1,1,1,1,1,1,4,3,2,1,1,2
"238",7567236,1,1,1,4,2,1,4,3,2,1,1,1
"239",7567238,1,1,1,4,1,1,4,1,2,1,1,1
"240",7567239,1,1,1,4,1,1,4,3,2,1,1,1
"241",7567240,1,1,1,4,1,1,4,3,2,1,1,1
"242",7567242,1,1,1,4,1,1,4,3,2,1,1,1
"243",7567243,1,1,1,4,2,1,6,3,2,1,1,1
"244",7567246,1,1,1,4,1,1,4,3,2,1,1,1
"245",7567248,1,1,1,4,1,1,4,3,2,1,1,1
"246",7567249,1,1,1,4,1,1,4,3,1,1,1,1
"247",7567250,1,1,1,3,1,1,4,3,1,1,1,1
"248",7567251,1,1,1,4,1,1,4,3,1,1,1,1
"249",7567253,1,1,1,4,2,1,4,3,1,1,1,1
"250",7567254,1,1,1,4,1,1,4,3,1,1,1,1
"251",7567255,1,1,1,4,1,1,6,3,2,1,1,1
"252",7567256,1,1,1,4,1,1,4,3,2,1,1,1
"253",7567257,1,1,1,4,1,1,4,3,1,1,1,1
"254",7567258,1,1,1,4,2,1,4,3,1,1,1,1
"255",7567259,1,1,1,4,2,1,4,1,1,1,1,1
"256",7567260,1,1,1,4,2,1,4,3,1,1,1,1
"257",7567261,1,1,1,4,1,1,4,1,2,1,1,1
"258",7567263,1,1,1,4,1,1,4,3,1,1,1,1
"259",7567264,1,1,1,4,2,1,6,3,2,1,1,1
"260",7567265,1,1,1,4,2,1,6,4,2,1,1,1
"261",7567266,1,1,1,4,1,1,4,3,2,1,1,1
"262",7567267,1,1,1,4,1,1,6,3,1,1,1,1
"263",7567268,1,1,1,4,2,1,6,4,1,1,1,1
"264",7567269,1,1,1,4,1,1,4,1,2,1,1,1
"265",7567270,1,1,1,4,1,1,7,4,2,1,1,1
"266",7567271,1,1,1,4,2,1,4,1,1,1,1,1
"267",7567272,1,1,1,4,2,1,4,3,2,1,1,1
"268",7567274,1,1,1,4,2,1,4,3,2,1,1,1
"269",7567275,1,1,1,4,1,1,4,3,1,1,1,1
"270",7567276,1,1,1,4,2,1,4,3,2,1,1,1
"271",7567278,1,2,1,3,1,1,6,3,1,1,1,1
"272",7567281,1,2,1,3,1,3,6,6,1,1,1,1
"273",7567282,1,2,1,3,1,5,7,4,1,1,1,1
