DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P784S1A3
7568100;1;1;1;106.92331143;2
7568100;2;1;2;106.92331143;3
7568100;3;1;3;106.92331143;4
7568103;1;1;1;216.25677119;4
7568103;2;1;2;216.25677119;5
7568109;1;1;1;48.472994325;4
7568111;1;1;1;51.379661841;3
7568111;2;1;2;51.379661841;4
7568111;3;1;3;51.379661841;5
7568114;1;1;1;60.785502083;3
7568115;1;1;1;81.047336111;3
7568120;1;1;1;87.105404319;3
7568120;2;1;2;87.105404319;4
7568132;1;1;1;195.8735161;3
7568138;1;1;1;324.71142044;4
7568139;1;1;1;297.76327347;3
7568149;1;1;1;48.018007092;3
7568151;1;1;1;87.1591727;4
7568162;1;1;1;179.79989702;3
7568168;1;1;1;221.43358398;2
7568174;1;1;1;118.19869481;2
7568175;2;1;2;141.17784707;4
7568175;1;1;1;141.17784707;3
7568198;1;1;1;296.28689418;5
7568198;2;1;2;296.28689418;7
7568207;1;1;1;188.70212428;2
7568207;2;1;2;188.70212428;3
7568208;1;1;1;361.74792413;3
7568208;2;1;2;361.74792413;4
7568213;1;1;1;140.61950251;3
7568213;2;1;2;140.61950251;4
7568224;1;1;1;243.52548593;3
7568224;2;1;2;243.52548593;4
7568228;1;1;1;285.35839102;3
7568228;2;1;2;285.35839102;4
7568240;1;1;1;134.78199586;3
7568240;2;1;2;134.78199586;4
7568248;1;1;1;282.97112796;3
7568248;2;1;2;282.97112796;4
7568248;3;1;3;282.97112796;5
7568248;1;2;1;282.97112796;4
7568249;1;1;1;140.42551323;3
7568249;2;1;2;140.42551323;4
7568253;1;1;1;187.54678659;2
7568269;1;1;1;348.05889314;5
7568269;2;1;2;348.05889314;6
7568281;1;1;1;123.94451717;3
7568293;1;1;1;270.56348663;5
7568307;1;1;1;189.75944598;3
7568310;1;1;1;191.67305489;2
7568310;2;1;2;191.67305489;3
7568310;3;1;3;191.67305489;4
7568311;1;1;1;222.82869711;2
7568320;1;1;1;350.6209671;5
7568324;1;1;1;379.27080332;3
7568324;2;1;2;379.27080332;4
7568324;3;1;3;379.27080332;5
7568324;4;1;4;379.27080332;6
7568333;1;1;1;266.93240104;3
7568333;2;1;2;266.93240104;4
7568333;3;1;3;266.93240104;5
7568334;1;1;1;205.70972194;3
7568342;1;1;1;205.77147291;4
7568345;1;1;1;266.93240104;5
7568346;1;1;1;539.57731249;3
7568351;1;1;1;319.4271059;5
7568380;1;1;1;142.09228177;2
7568392;1;2;1;229.94789736;4
7568393;1;1;1;165.27376863;3
7568393;2;1;2;165.27376863;4
7568393;3;1;3;165.27376863;5
7568393;4;1;4;165.27376863;6
7568399;1;1;1;227.38389205;4
7568399;2;1;2;227.38389205;5
7568399;3;1;3;227.38389205;6
7568399;4;1;4;227.38389205;7
7568400;1;1;1;165.45085283;5
7568400;2;1;2;165.45085283;6
7568400;3;1;3;165.45085283;8
7568403;1;1;1;287.31820903;4
7568423;1;1;1;388.14336658;3
7568423;2;1;2;388.14336658;4
7568425;1;1;1;44.451674765;4
7568449;1;1;1;97.127526707;5
7568459;1;1;1;27.271711106;3
7568468;1;1;1;34.294211985;2
7568468;2;1;2;34.294211985;3
7568494;1;1;1;5.2819334132;1
7568502;1;1;1;7.6868529861;2
7568508;2;1;2;6.8193201596;4
7568508;1;1;1;6.8193201596;3
7568548;1;1;1;20.342614948;3
7568548;2;1;2;20.342614948;4
7568585;1;1;1;74.176436564;3
7568586;1;1;1;81.305128532;3
7568586;2;1;2;81.305128532;4
7568586;3;1;3;81.305128532;5
7568597;1;1;1;41.055698149;4
7568597;2;1;2;41.055698149;5
7568607;1;1;1;81.420043757;1
7568610;1;1;1;44.064069235;3
7568613;1;1;1;44.966187479;3
7568673;1;1;1;803.8633283;3
7568689;1;1;1;381.32357353;3
7568689;2;1;2;381.32357353;4
7568692;1;1;1;445.2793251;2
7568692;2;1;2;445.2793251;3
7568693;2;1;2;449.22893551;6
7568693;1;1;1;449.22893551;4
7568694;1;1;1;445.21959417;3
7568694;2;1;2;445.21959417;4
7568694;3;1;3;445.21959417;5
7568696;1;1;1;499.23058322;2
7568696;2;1;2;499.23058322;3
7568696;1;2;1;499.23058322;3
7568698;1;1;1;460.45768937;3
7568703;1;1;1;428.33625881;4
7568711;1;1;1;470.45243754;3
7568724;1;1;1;461.63188662;2
7568742;1;1;1;370.32157323;4
7568746;1;1;1;393.25810726;3
7568746;2;1;2;393.25810726;4
7568759;1;1;1;407.87887253;2
7568775;1;1;1;148.95760162;4
7568777;1;1;1;146.78642162;1
7568798;1;1;1;210.91385778;3
7568800;1;1;1;173.41845629;3
7568805;1;1;1;249.21906004;4
7568805;2;1;2;249.21906004;5
7568813;1;1;1;224.02771548;4
7568817;1;1;1;140.29477719;3
7568836;2;1;2;104.56909789;4
7568836;1;1;1;104.56909789;3
7568842;1;1;1;97.193901935;2
7568842;2;1;2;97.193901935;3
7568875;1;1;1;89.223819284;1
7568875;2;1;2;89.223819284;2
7568878;1;1;1;93.712074075;2
7568879;1;1;1;146.6975128;1
7568879;2;1;2;146.6975128;2
7568879;3;1;3;146.6975128;3
7568883;1;1;1;181.0278523;3
7568883;2;1;2;181.0278523;4
7568883;3;1;3;181.0278523;5
7568883;4;1;4;181.0278523;7
7568891;1;1;1;321.56673129;3
7568891;2;1;2;321.56673129;4
7568897;1;1;1;87.116828571;4
7568897;2;1;2;87.116828571;5
7568930;1;1;1;442.36878967;4
7568933;1;1;1;497.61772241;3
7568933;2;1;2;497.61772241;4
7568961;1;1;1;699.42416613;4
7568966;1;1;1;166.16636885;4
7568981;1;2;1;103.94411666;2
7568981;2;2;2;103.94411666;3
7568987;1;1;1;158.59320527;3
7568988;1;1;1;149.12120957;5
7568988;2;1;2;149.12120957;6
7568990;1;1;1;134.38418609;3
7568990;2;1;2;134.38418609;4
7568990;3;1;3;134.38418609;5
7568992;1;1;1;150.58590866;3
7568993;1;1;1;125.81074323;4
7568993;2;1;2;125.81074323;5
7568993;3;1;3;125.81074323;6
7568995;1;1;1;131.99394815;3
7569045;1;1;1;139.55294527;3
7569046;1;1;1;97.10961148;3
7569054;1;1;1;129.40898224;3
7569069;1;1;1;75.609434116;3
7569069;2;1;2;75.609434116;4
7569073;1;1;1;61.13191576;2
7569073;2;1;2;61.13191576;3
7569080;1;1;1;124.53827276;3
7569080;2;1;2;124.53827276;4
7569080;3;1;3;124.53827276;5
7569086;1;1;1;95.488253212;3
7569089;1;1;1;150.86523706;3
7569092;1;1;1;108.70163544;4
7569093;1;1;1;115.12793241;2
7569093;2;1;2;115.12793241;4
7569099;1;1;1;231.8174366;4
7569100;1;1;1;211.49456796;3
7569100;2;1;2;211.49456796;4
7569102;1;1;1;193.90801626;3
7569102;2;1;2;193.90801626;4
7569105;1;1;1;214.27603238;5
7569108;1;1;1;244.53701057;5
7569108;2;1;2;244.53701057;6
7569109;1;1;1;147.9812348;3
7569113;1;1;1;179.59040186;3
7569113;2;1;2;179.59040186;4
7569113;3;1;3;179.59040186;5
7569119;1;1;1;149.28733358;3
7569119;2;1;2;149.28733358;4
7569119;3;1;3;149.28733358;5
7569124;1;1;1;252.54133004;3
7569125;1;1;1;65.527251218;2
7569130;1;1;1;89.055384648;3
7569130;2;1;2;89.055384648;4
7569131;1;1;1;79.066120814;3
7569132;1;1;1;58.389852455;3
7569135;1;1;1;55.411084133;2
7569143;1;1;1;42.696998587;3
7569143;2;1;2;42.696998587;4
7569163;1;1;1;241.4963095;3
7569163;2;1;2;241.4963095;4
7569169;1;1;1;235.54352957;4
7569179;1;1;1;201.14532923;2
7569183;1;1;1;95.784584679;2
7569184;1;2;1;72.949117411;3
7569184;2;2;2;72.949117411;4
7569188;1;1;1;88.44722153;3
7569192;1;1;1;77.050224941;2
7569192;2;1;2;77.050224941;2
7569196;1;1;1;103.02892712;2
7569196;2;1;2;103.02892712;3
7569196;3;1;3;103.02892712;4
7569197;1;1;1;67.734187492;4
7569210;1;1;1;54.587436196;3
7569210;2;1;2;54.587436196;4
7569212;1;1;1;54.468761723;4
7569212;2;1;2;54.468761723;5
7569212;3;1;3;54.468761723;6
7569218;1;1;1;29.750935807;3
7569247;1;1;1;30.912806901;4
7569249;1;1;1;75.490352452;3
7569249;2;1;2;75.490352452;4
7569275;1;1;1;74.847958611;4
7569284;1;1;1;82.322623146;3
7569284;2;1;2;82.322623146;4
7569308;1;1;1;28.324466756;2
7569312;1;1;1;6.6255701569;3
7569319;1;1;1;18.851322004;2
7569323;1;1;1;22.128583354;4
7569329;1;1;1;175.57094839;3
7569347;1;1;1;173.73063274;2
7569356;2;1;2;187.27062239;3
7569356;1;1;1;187.27062239;2
7569397;1;1;1;213.80698971;5
7569401;1;1;1;91.393387064;4
7569444;1;1;1;193.8430508;2
7569444;2;1;2;193.8430508;3
7569444;3;1;3;193.8430508;4
7569538;1;1;1;144.3066117;2
7569539;1;1;1;106.09417932;1
7569560;1;1;1;66.58555063;3
7569560;2;1;2;66.58555063;4
7569560;3;1;3;66.58555063;5
7569566;1;1;1;77.625227096;2
7569567;1;1;1;59.70561902;4
7569568;1;1;1;42.373575224;2
7569584;2;1;2;170.94455464;4
7569584;1;1;1;170.94455464;3
7569595;1;1;1;175.62401029;3
7569595;2;1;2;175.62401029;4
7569599;1;1;1;208.88813981;4
7569599;2;1;2;208.88813981;5
7569616;1;1;1;371.35960852;4
7569616;2;1;2;371.35960852;5
7569619;1;1;1;501.97674918;3
7569619;2;1;2;501.97674918;4
7569619;3;1;3;501.97674918;5
7569620;1;1;1;387.93870021;2
7569620;2;1;2;387.93870021;3
7569633;1;1;1;474.95738109;2
7569636;1;2;1;204.61567031;3
7569650;1;1;1;558.41563723;5
7569650;2;1;2;558.41563723;6
7569675;1;1;1;205.74027101;3
7569676;1;1;1;161.85412653;4
7569680;1;1;1;59.172338969;4
7569680;2;1;2;59.172338969;5
7569693;1;1;1;28.504843404;3
7569783;1;1;1;478.07876585;2
7569783;2;1;2;478.07876585;3
7569783;3;1;3;478.07876585;4
7569829;1;1;1;245.66894221;2
7569849;1;1;1;236.98322561;2
7569883;1;1;1;218.17759679;4
7569884;1;1;1;200.59043381;3
7569889;1;1;1;218.17759679;3
7569889;2;1;2;218.17759679;4
7569899;1;1;1;178.31976906;2
7569901;1;1;1;139.42441015;2
7569901;2;1;2;139.42441015;3
7569905;1;1;1;130.70877344;3
7569911;1;1;1;117.10638739;2
7569913;1;1;1;112.20577796;2
7569924;1;1;1;146.60685568;2
7569930;1;1;1;146.60685568;2
7569932;1;1;1;169.48874465;3
7569932;2;1;2;169.48874465;4
7569934;1;1;1;98.031175782;2
7569940;1;1;1;167.07904043;3
7569940;2;1;2;167.07904043;4
7569945;1;1;1;177.13696422;2
7569954;1;1;1;49.264568545;2
7569972;1;1;1;159.8418277;1
7569973;1;1;1;132.69223476;3
7569974;1;1;1;152.80030322;2
7569974;2;1;2;152.80030322;3
7569988;1;1;1;151.59038541;1
7569988;2;1;2;151.59038541;1
7569996;1;1;1;183.55728631;3
7569997;1;1;1;194.20275602;3
7570003;1;1;1;93.90870581;6
7570003;2;1;2;93.90870581;7
7570004;1;1;1;178.03550303;4
7570006;1;1;1;113.5844448;3
7570011;1;1;1;129.9957305;3
7570015;1;1;1;209.6951476;2
7570022;1;1;1;113.02171709;3
7570053;1;1;1;18.159082001;3
7570053;2;1;2;18.159082001;4
7570084;1;1;1;226.4169053;3
7570084;2;1;2;226.4169053;4
7570084;3;1;3;226.4169053;5
7570084;4;1;4;226.4169053;6
7570135;1;1;1;235.11213888;3
7570179;1;1;1;65.94205017;3
7570181;1;1;1;59.43344748;3
7570191;1;1;1;190.87290076;1
7570223;1;1;1;305.72249171;3
7570304;1;1;1;28.903293507;3
7570304;2;1;2;28.903293507;4
7570308;1;1;1;115.61317403;3
7570315;1;1;1;115.61317403;1
7570315;2;1;2;115.61317403;2
7570340;1;1;1;55.798531947;2
7570340;2;1;2;55.798531947;3
7570416;1;1;1;112.97450061;4
7570431;1;1;1;1681.2146651;3
7570432;1;1;1;1615.6241325;3
7570432;2;1;2;1615.6241325;4
7570432;3;1;3;1615.6241325;5
7570450;1;1;1;245.05993522;1
7570501;2;1;2;240.72378963;4
7570501;3;1;3;240.72378963;7
7570501;1;1;1;240.72378963;3
7570504;1;1;1;306.03735386;3
7570511;1;1;1;308.36342946;3
7570521;1;1;1;236.96436228;5
7570537;1;1;1;272.91866997;3
7570537;2;1;2;272.91866997;4
7570564;1;1;1;50.781459503;2
7570626;1;1;1;44.070099025;5
7570626;2;1;2;44.070099025;6
7570626;3;1;3;44.070099025;7
7570626;4;1;4;44.070099025;8
7570628;1;1;1;14.276772348;2
7570628;2;1;2;14.276772348;3
7570628;3;1;3;14.276772348;4
7570630;1;1;1;44.070099025;5
7570630;2;1;2;44.070099025;6
7570631;1;1;1;8.9938977603;8
7570632;1;1;1;13.127181761;3
7570632;2;1;2;13.127181761;4
7570659;1;1;1;5.5943873842;3
7570668;1;1;1;9.4235153094;5
7570668;2;1;2;9.4235153094;4
7570674;1;1;1;10.922439931;2
7570680;1;1;1;18.275250593;3
7570680;2;1;2;18.275250593;4
7570681;2;1;2;19.699767732;3
7570681;1;1;1;19.699767732;2
7570686;1;1;1;9.4666405436;2
7570689;1;1;1;13.860588011;2
7570692;1;1;1;14.19917191;2
7570699;1;1;1;12.678443677;3
7570702;1;1;1;9.7333381489;3
7570703;1;1;1;9.6720317673;2
7570708;1;1;1;31.25689724;4
7570708;2;1;2;31.25689724;5
7570709;1;1;1;8.0203622277;2
7570709;2;1;2;8.0203622277;3
7570716;1;1;1;76.863476284;4
7570717;1;1;1;66.835408048;3
7570720;1;1;1;70.045524036;3
7570741;1;1;1;115.9877183;2
7570741;2;1;2;115.9877183;2
7570741;3;1;3;115.9877183;3
7570747;1;1;1;44.53454969;4
7570754;1;1;1;40.793360732;3
7570754;2;1;2;40.793360732;4
7570759;1;1;1;42.843895368;3
7570759;2;1;2;42.843895368;4
7570765;1;1;1;49.861505127;4
7570765;2;1;2;49.861505127;5
7570775;2;1;2;68.025111564;4
7570775;3;1;3;68.025111564;5
7570775;1;1;1;68.025111564;3
7570779;1;1;1;15.105289273;3
7570783;1;1;1;14.281611888;3
7570784;1;1;1;15.673837828;2
7570785;1;1;1;52.274309847;4
7570785;2;1;2;52.274309847;5
7570785;3;1;3;52.274309847;6
7570790;1;1;1;22.514123847;1
7570803;1;1;1;22.362429187;2
7570810;1;1;1;25.687361125;4
7570810;2;1;2;25.687361125;5
7570815;1;1;1;65.594846915;5
7570815;2;1;2;65.594846915;6
7570832;1;1;1;19.340043104;3
7570837;1;1;1;25.054632147;3
7570851;1;1;1;29.939681491;3
7570857;1;1;1;26.650550668;1
7570857;2;1;2;26.650550668;2
7570858;1;1;1;32.442748343;2
7570858;2;1;2;32.442748343;3
7570858;3;1;3;32.442748343;4
7570873;1;1;1;37.815064856;3
7570879;1;1;1;59.752721176;5
7570883;1;1;1;60.682359673;2
7570896;1;1;1;31.141713144;4
7570896;2;1;2;31.141713144;5
7570908;1;1;1;82.374021723;2
7570912;1;1;1;82.374021723;2
7570924;1;1;1;83.906346484;2
7570931;1;1;1;97.473335818;3
7570931;2;1;2;97.473335818;4
7570932;1;1;1;90.908057942;2
7570932;2;1;2;90.908057942;3
7570937;1;1;1;65.303831213;2
7570937;2;1;2;65.303831213;3
7571021;1;1;1;376.42305236;3
7571021;2;1;2;376.42305236;4
7571021;3;1;3;376.42305236;5
7571043;1;1;1;581.75387852;3
7571106;1;1;1;78.967624752;2
7571106;2;1;2;78.967624752;3
7571108;1;1;1;338.30787068;3
7571108;2;1;2;338.30787068;4
7571108;3;1;3;338.30787068;5
7571114;1;1;1;224.49509142;4
7571118;1;1;1;323.57223984;3
7571131;1;1;1;260.9882436;3
7571131;2;1;2;260.9882436;4
7571133;1;1;1;184.47202811;3
7571157;1;1;1;56.979687596;4
7571176;1;1;1;99.941483715;4
7571181;1;1;1;56.956015576;2
7571184;1;1;1;77.515909471;4
7571200;1;1;1;26.99145532;2
7571202;1;1;1;48.8526209;3
7571202;2;1;2;48.8526209;4
7571202;3;1;3;48.8526209;5
7571205;1;1;1;49.667838203;3
7571205;2;1;2;49.667838203;4
7571224;1;1;1;262.55230804;3
7571225;1;1;1;271.73181858;3
7571225;2;1;2;271.73181858;4
7571230;1;1;1;82.57692696;2
7571284;1;1;1;135.39316945;3
7571296;1;1;1;184.97101281;4
7571296;2;1;2;184.97101281;5
7571309;1;1;1;179.56016971;4
7571311;1;1;1;161.69445015;6
7571319;1;1;1;127.81339874;4
7571323;1;1;1;194.73389113;3
7571323;2;1;2;194.73389113;4
7571323;3;1;3;194.73389113;5
7571323;4;1;4;194.73389113;6
7571355;1;1;1;157.16077224;5
7571355;2;1;2;157.16077224;6
7571371;1;1;1;146.42731492;2
7571374;1;1;1;181.48270122;3
7571374;2;1;2;181.48270122;4
7571374;3;1;3;181.48270122;5
7571386;1;1;1;96.39961076;1
7571388;1;1;1;128.37802858;2
7571396;1;1;1;174.86426361;3
7571396;2;1;2;174.86426361;4
7571402;1;1;1;114.97866534;5
7571402;2;1;2;114.97866534;6
7571405;1;1;1;65.573229646;2
7571405;2;1;2;65.573229646;3
7571405;3;1;3;65.573229646;4
7571429;1;1;1;72.307551266;3
7571431;1;1;1;86.791030248;3
7571431;2;1;2;86.791030248;4
7571434;1;1;1;79.902660756;3
7571436;1;1;1;146.92208791;3
7571436;2;1;2;146.92208791;4
7571442;1;1;1;90.353185977;3
7571442;2;1;2;90.353185977;4
7571449;1;1;1;283.16840582;2
7571449;2;1;2;283.16840582;3
7571449;3;1;3;283.16840582;4
7571473;1;1;1;177.05382183;1
7571475;1;1;1;221.63948528;2
7571492;1;1;1;373.54121363;1
7571503;1;1;1;168.25671469;1
7571516;1;1;1;54.719346636;1
7571518;1;1;1;131.91413021;3
7571518;2;1;2;131.91413021;4
7571523;1;1;1;42.708028481;1
7571524;1;1;1;42.708028481;3
