DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P51;P772;P773;P6169;P6169S1;P8564;P8564S1;P8566;P8566S1;P8568;P8568S1;P6191;P6191S1;P8572;P8572S1;P8574;P8574S1;P8576;P8576S1;P55;P774;P774S1;P774S2;P774S3;P775;P776;P776S1;P776S2;P776S3;P58;P58S1;P58S2;P777;P778;P779;P779S1;P779S1A1;P779S2;P779S2A1;P779S3;P779S3A1;P779S11;P779S11A1;P779S12;P779S12A1;P779S5;P779S5A1;P779S6;P779S6A1;P779S7;P779S7A1;P779S8;P779S8A1;P779S13;P779S13A1;P779S9;P779S14;P779S9A2
7626793;6;1;6;134.93140384;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7626804;4;1;4;209.2997764;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;40;2;;;;1;1;;;1;1;;;;;;;1;1;;;1;1;;;
7626808;3;1;3;112.72185731;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;1;;;;;;;;;;;;;;;
7626810;3;1;3;87.717225265;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;1;2;1;2;;;;;;;;;;;;;;;
7626824;3;1;3;108.03120442;3;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7626824;4;1;4;108.03120442;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7626828;3;1;3;89.621567346;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7626828;4;1;4;89.621567346;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7626831;6;1;6;76.0596103;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;4;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7626832;3;1;3;63.087839809;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7626835;2;1;2;48.364309209;2;9;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7626839;4;1;4;71.950256074;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;;;;;1;1;;;1;1;;;
7626840;6;1;6;82.458312426;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7626842;6;1;6;64.250234154;1;;4;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7626843;3;1;3;62.070723352;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;1;1;;;;;;;
7626846;4;1;4;72.180009894;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;1;2;;;1;2;;;;;;;;;;;
7626848;3;1;3;75.805733791;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;;;1;2;;;;;;;
7626848;4;1;4;75.805733791;1;;1;2;;2;;2;;2;;2;;2;;1;20000;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;1;2;;;1;2;;;;;;;
7626860;3;1;3;180.08481539;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;1;2;;;;;;;;;;;
7626879;6;1;6;442.62441059;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;7000;1;3;;;1500;1;2;;;;;;;1;2;;;;;;;;;1;2;;;;;;;;;
7626910;3;1;3;17.776584001;5;1;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626932;2;1;2;27.80863633;2;3;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626939;4;1;4;29.486536113;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626943;3;1;3;32.034538638;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626943;4;1;4;32.034538638;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626944;2;1;2;30.199300064;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626944;3;1;3;30.199300064;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626955;3;1;3;102.76813526;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626956;3;1;3;110.89565276;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626956;4;1;4;110.89565276;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626960;5;1;5;95.075789094;2;3;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626964;5;1;5;127.45372944;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;1;2;;;;;;;
7626964;6;1;6;127.45372944;2;4;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626978;7;1;7;274.71194135;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626978;8;1;8;274.71194135;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626981;3;1;3;286.71044706;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626987;7;1;7;395.21348931;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7626987;8;1;8;395.21348931;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7626990;3;1;3;86.424390518;1;;4;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;1;3;;;;;
7626995;3;1;3;210.74640925;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;;;1;3;;;;;;;;;
7626995;4;1;4;210.74640925;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;;;1;3;;;;;;;;;
7626997;3;1;3;195.61371744;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627007;3;1;3;200.44269102;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;;;;;;;;;1;3;;;;;;;
7627010;3;1;3;261.09200278;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;1;2;;;;;;;;;;;;;1;1;;;;;;;
7627010;4;1;4;261.09200278;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7627010;8;1;8;261.09200278;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;1;2;;;;;;;1;1;;;;;;;
7627014;6;1;6;367.46479575;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;;;1;4;;;;;;;;;
7627015;4;1;4;170.70889351;1;;3;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;8000;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;1;1;;;;;;;
7627016;3;1;3;281.92614433;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627018;3;1;3;319.72582185;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7627018;4;1;4;319.72582185;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7627029;2;1;2;109.8235009;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627030;3;1;3;269.78315358;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;1;2;;;;;;;;;;;
7627032;6;1;6;197.64487142;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627048;4;1;4;129.90181542;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627053;6;1;6;221.06371723;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7627053;7;1;7;221.06371723;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;1;3;;;;;;;
7627066;7;1;7;148.95295206;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;6;;;;;;;;;;;1;1;;;;;1;3;;;;;;;;;
7627067;6;1;6;270.18898772;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627067;10;1;10;270.18898772;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;8;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627068;4;1;4;173.31998859;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7627071;3;1;3;115.74244492;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627071;4;1;4;115.74244492;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627079;3;1;3;88.419623734;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7627080;5;1;5;102.45829602;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627094;4;1;4;93.356266499;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627098;5;1;5;229.7120793;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627101;5;1;5;225.22086874;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7627106;6;1;6;93.844216304;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627109;5;1;5;38.411696932;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;4;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627113;5;1;5;71.669827907;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627116;6;1;6;56.555381371;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627135;3;1;3;83.596914943;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627136;3;1;3;95.27787071;1;;1;2;;1;35000;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627139;8;1;8;139.22760019;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;6000;1;3;;;4000;1;7;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627141;4;1;4;104.21778638;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627142;4;1;4;112.64394775;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627142;5;1;5;112.64394775;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627146;7;1;7;254.00005755;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;6000;1;3;;;5000;1;6;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627149;4;1;4;191.22724086;1;;4;2;;2;;2;;1;90000;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627149;5;1;5;191.22724086;1;;1;2;;1;60000;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627153;3;1;3;92.740297705;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627158;4;1;4;206.41382823;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627164;3;1;3;246.19399832;1;;2;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627164;4;1;4;246.19399832;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627168;4;1;4;59.022924023;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627170;3;1;3;70.156506567;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627172;5;1;5;56.439989477;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627177;3;1;3;145.86025051;5;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;;;;;;;1;1;1;1;;;;;;;
7627190;4;1;4;204.23076862;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627193;4;1;4;67.981423036;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;3;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627195;4;1;4;101.5719428;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;4000;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627196;4;1;4;108.32204633;2;8;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;1;1;2;;;;;;;
7627197;4;1;4;106.54192513;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;4;;;;1;4;;;;1;5;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627198;3;1;3;89.041996553;2;8;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627215;4;1;4;1409.1279187;2;1;;;;;;;;;;;;;;;;;;1;4;;;;2;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627216;4;1;4;2597.9418031;5;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;1;1;;;;;1;1;1;1;;;;;;;
7627217;4;1;4;1817.0508538;2;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627217;3;2;3;1817.0508538;2;3;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;1;3;1;1;;;;;;;
7627217;4;2;4;1817.0508538;2;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627218;3;1;3;893.11923152;5;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627221;3;1;3;1741.8327828;1;;1;2;;2;;2;;2;;2;;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;1;;;;;;;;;;;;;;;;;1;2;;;;;;;;;
7627235;5;1;5;18.042515916;3;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;1;1;1;1;2;1;2;1;2;1;2;1;2;1;2;;;1;2;;;
7627256;5;1;5;16.032604714;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;;;;;;;;;
7627259;4;1;4;13.332754439;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;;;;;1;1;1;2;;;;;;;;;
7627261;4;1;4;15.563336564;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;1;1;1;3;1;1;;;;;;;
7627261;5;1;5;15.563336564;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;1;3;1;1;;;;;;;
7627271;5;1;5;22.510508196;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;1;1;;;;;;;
7627280;6;1;6;19.459588696;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;1;;;;;;;;;;;;;;;
7627281;3;1;3;9.2056006372;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;1;2;1;2;1;2;1;2;;;;;;;;;;;
7627287;4;1;4;13.614396568;2;3;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;1;2;1;2;;;;;;;
7627289;2;1;2;6.6309900744;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;2;;;;;1;2;;;;;1;2;1;1;;;;;;;
7627290;3;1;3;13.193614895;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;1;1;;;;;;;;;
7627298;3;1;3;13.47231783;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;1;;;1;1;;;1;1;;;;;;;
7627318;6;1;6;773.54513957;2;8;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;1;2;;;;;1;2;1;2;;;1;1;;;1;2;;;1;2;;;1;2;;;
7627326;3;1;3;622.96175065;1;;1;1;45000;2;;2;;2;;1;45000;2;;2;;2;;1;3;;;2500;1;3;;;5000;2;;2;53;2;;;;;;;;;;;;;;1;2;1;1;;;;;;;
7627339;4;1;4;694.28997035;5;6;;;;;;;;;;;;;;;;;;1;1;;;;1;4;;;;1;1;;;;;;;;;1;1;;;;;1;1;;;;;;;;;;;
7627372;4;1;4;75.651081862;2;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;1;1;1;1;2;1;1;;;1;1;;;;;;;;;;;
7627372;5;1;5;75.651081862;2;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;1;1;1;;;1;2;;;;;;;;;;;;;;;
7627373;3;1;3;88.398168535;2;1;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;2;1;1;1;2;1;1;1;1;1;1;;;1;1;;;;;;;
7627387;4;1;4;133.43546286;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;1;;;1;1;;;1;2;;;1;2;;;
7627398;3;1;3;64.78937912;2;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;1;2;;;;;;;1;2;;;
7627400;3;1;3;64.65436471;3;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;2;1;2;;;1;1;;;;;;;1;1;;;;;;;
7627401;2;1;2;44.742233992;2;4;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;1;1;1;1;1;2;1;1;;;1;1;;;;;;;1;1;;;
7627402;3;1;3;64.78937912;8;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;1;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;
7627419;5;1;5;274.59052434;5;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;;;;;;;1;1;;;1;1;;;;;;;
7627420;4;1;4;268.72571396;2;6;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627425;5;1;5;91.151442227;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;1;;;;;;;;;;;
7627427;3;1;3;18.851322004;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;1;2;;;;;;;;;;;;;;;1;2;;;
7627429;3;1;3;24.304126304;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;1;2;;;;;;;
7627429;4;1;4;24.304126304;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;2;;;;;;;;;;;;;;;
7627435;3;1;3;98.026874418;3;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;;;;;1;1;;;;;;;
7627435;4;1;4;98.026874418;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;;;;;1;2;;;;;;;;;;;
7627441;3;1;3;40.956229227;5;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;2;;2;59;4;;1;2;;;;;1;1;;;;;;;;;;;;;;;
7627445;5;1;5;34.894270189;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;2;;;;;;;;;;;;;;;
7627446;4;1;4;88.295069693;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;2;;;;;1;2;;;;;;;1;1;;;;;;;
7627446;5;1;5;88.295069693;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;;;;;;;1;1;;;1;1;;;;;;;;;;;
7627453;5;1;5;98.026874418;5;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;1;2;;;;;;;
7627459;3;1;3;24.304126304;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;;;;;;;;;1;2;;;;;;;
7627459;4;1;4;24.304126304;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;1;;;;;;;1;2;;;;;;;
7627460;2;1;2;18.851322004;2;1;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;1;;;;;1;1;1;1;1;1;1;1;;;1;1;;;;;;;;;;;
7627463;4;1;4;31.877982281;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;1;2;1;2;;;1;2;1;2;;;;;;;;;
7627466;3;1;3;31.548963699;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;1;2;1;2;;;;;;;;;;;;;;;
7627469;3;1;3;23.301515451;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;;;;;;;;;
7627470;3;1;3;23.301515451;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;2;;;;;;;;;;;;;;;
7627471;6;1;6;73.520155814;2;4;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;1;1;2;1;2;;;;;;;;;;;;;;;;;
7627473;3;1;3;14.138491503;3;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;2;;;1;2;;;;;;;1;1;;;;;;;
7627475;3;1;3;45.051852149;2;5;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;1;1;;;1;1;;;;;;;;;;;;;;;
7627484;5;1;5;98.026874418;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;;;;;;;1;2;;;;;;;;;;;;;;;
7627489;5;1;5;97.105812674;5;5;;;;;;;;;;;;;;;;;;1;1;;;;1;1;;;;1;2;;;;;1;2;1;2;;;;;;;;;1;2;1;1;;;;;;;
7627490;5;1;5;128.45127943;2;6;;;;;;;;;;;;;;;;;;1;4;;;;1;4;;;;1;2;;;;;1;2;1;2;;;1;1;;;1;1;1;1;;;;;;;;;
7627492;9;1;9;154.63179671;1;;2;2;;1;75000;2;;2;;2;;2;;2;;2;;1;3;;;20000;1;3;;;5000;1;4;;;;;;;;;;;;;;;;;;;;;;;;;;1;
7627495;2;1;2;98.778614987;1;;4;2;;2;;2;;1;15000;2;;2;;2;;2;;1;4;;;;1;4;;;;2;;2;60;1;;;;1;1;1;2;;;;;1;2;1;1;1;1;;;;;;;
7627500;4;1;4;170.32306902;1;;4;2;;2;;1;100000;2;;2;;1;70000;2;;2;;1;4;;;;1;4;;;;1;3;;;;;1;2;1;2;1;2;;;;;1;2;1;2;1;2;;;1;2;;;
7627503;3;1;3;153.29076212;1;;2;1;25000;2;;2;;1;20000;2;;2;;2;;2;;1;3;;;5000;1;3;;;5000;1;2;;;;;1;2;1;2;;;;;;;;;;;;;;;;;;;
