DIRECTORIO;SECUENCIA_ENCUESTA;SECUENCIA_P;ORDEN;FEX_C;P8692S3A1
7569458;2;1;2;131.04392136;2
7569492;1;1;1;239.21815369;1
7569492;2;1;2;239.21815369;2
7569494;1;1;1;188.93725514;1
7569494;2;1;2;188.93725514;2
7569503;1;1;1;134.31308658;1
7569503;2;1;2;134.31308658;4
7569542;1;1;1;71.368102821;1
7569542;2;1;2;71.368102821;2
7569564;1;1;1;105.88606692;1
7569564;2;1;2;105.88606692;2
7569569;1;1;1;59.754264714;1
7569569;2;1;2;59.754264714;2
7569622;1;1;1;277.73652093;1
7569622;2;1;2;277.73652093;2
7569625;1;1;1;515.77958187;1
7569625;2;1;2;515.77958187;2
7569627;1;1;1;425.19171242;1
7569627;2;1;2;425.19171242;2
7569635;1;1;1;340.64342396;1
7569635;2;1;2;340.64342396;2
7569669;1;1;1;176.74632475;1
7569669;2;1;2;176.74632475;2
7569671;1;1;1;183.00062191;1
7569671;2;1;2;183.00062191;2
7569683;1;1;1;40.594808329;1
7569683;2;1;2;40.594808329;2
7569689;1;1;1;35.233822224;1
7569689;2;1;2;35.233822224;2
7569691;1;1;1;63.180202384;1
7569691;2;1;2;63.180202384;2
7569701;1;1;1;855.39962482;1
7569701;2;1;2;855.39962482;2
7569717;1;1;1;418.25024017;1
7569717;2;1;2;418.25024017;2
7569719;1;1;1;196.39431379;1
7569719;2;1;2;196.39431379;2
7569729;1;1;1;376.44726163;1
7569729;2;1;2;376.44726163;2
7569747;1;1;1;68.974269174;1
7569747;2;1;2;68.974269174;2
7569768;1;1;1;458.7950183;1
7569768;2;1;2;458.7950183;2
7569775;1;1;1;247.3856117;1
7569775;2;1;2;247.3856117;2
7569775;3;1;3;247.3856117;3
7569782;1;1;1;366.93163227;1
7569782;2;1;2;366.93163227;2
7569785;1;1;1;268.03507444;2
7569785;2;1;2;268.03507444;3
7569785;3;1;3;268.03507444;4
7569849;1;1;1;236.98322561;1
7569849;2;1;2;236.98322561;2
7569871;1;1;1;98.181508617;1
7569871;2;1;2;98.181508617;2
7569878;1;1;1;152.17999914;1
7569878;2;1;2;152.17999914;2
7569897;1;1;1;132.63194098;1
7569897;2;1;2;132.63194098;2
7569935;1;1;1;129.1844495;1
7569935;2;1;2;129.1844495;2
7569941;1;1;1;133.01300765;2
7569941;2;1;2;133.01300765;3
7569941;3;1;3;133.01300765;4
7569943;1;1;1;241.48086893;1
7569943;2;1;2;241.48086893;2
7569955;1;1;1;53.028673736;1
7569955;2;1;2;53.028673736;2
7570044;1;1;1;17.458842129;1
7570044;2;1;2;17.458842129;2
7570047;1;1;1;15.712957916;1
7570047;2;1;2;15.712957916;2
7570117;1;1;1;185.54647123;1
7570117;2;1;2;185.54647123;2
7570132;1;1;1;149.43866676;1
7570132;2;1;2;149.43866676;4
7570149;1;1;1;318.2760902;1
7570149;2;1;2;318.2760902;2
7570189;1;1;1;267.64076835;1
7570189;2;1;2;267.64076835;2
7570216;1;1;1;327.12923832;2
7570216;2;1;2;327.12923832;1
7570237;1;1;1;471.57809481;1
7570237;2;1;2;471.57809481;2
7570264;1;1;1;109.8517161;1
7570264;2;1;2;109.8517161;2
7570272;2;1;2;27.462929025;2
7570272;1;1;1;27.462929025;1
7570324;1;1;1;28.903293507;1
7570324;2;1;2;28.903293507;2
7570433;2;1;2;704.37290814;2
7570433;1;1;1;704.37290814;1
7570441;1;1;1;1664.6353078;1
7570441;2;1;2;1664.6353078;2
7570442;1;1;1;1542.2591721;1
7570442;2;1;2;1542.2591721;2
7570462;1;1;1;426.38403197;1
7570462;2;1;2;426.38403197;2
7570464;1;1;1;242.726326;1
7570464;2;1;2;242.726326;2
7570614;1;1;1;56.667500993;1
7570614;2;1;2;56.667500993;2
7570766;1;1;1;34.760596118;1
7570766;2;1;2;34.760596118;2
7570848;1;1;1;28.761649472;1
7570848;2;1;2;28.761649472;2
7570899;1;1;1;17.955298764;1
7570899;2;1;2;17.955298764;2
7570948;1;1;1;14.526795228;1
7570948;2;1;2;14.526795228;2
7570948;3;1;3;14.526795228;3
7570949;1;1;1;15.991168778;1
7570949;2;1;2;15.991168778;2
7570949;3;1;3;15.991168778;4
7570999;1;1;1;505.72625444;1
7570999;2;1;2;505.72625444;2
7571032;1;1;1;403.92198888;1
7571032;2;1;2;403.92198888;2
